z,mol_u0,mol_u1
1.570796326794896697e-02,6.119727912672823183e-16,1.864009635472046608e-17
4.712388980384690090e-02,2.137264747243492289e-14,6.690624038975612941e-16
7.853981633974482790e-02,3.733214077409544038e-13,1.201969060666177195e-14
1.099557428756427757e-01,4.349244779015848060e-12,1.441273508035405568e-13
1.413716694115406958e-01,3.802535838561099224e-11,1.297952825506555181e-12
1.727875959474386158e-01,2.661707105557933355e-10,9.365719541983517978e-12
2.042035224833365636e-01,1.554084690879008317e-09,5.641635702900284052e-11
2.356194490192345115e-01,7.786163845238969573e-09,2.918569078485296455e-10
2.670353755551324593e-01,3.417714611739644621e-08,1.323968704983656204e-09
2.984513020910303793e-01,1.335447814214813136e-07,5.351270080552462985e-09
3.298672286269282994e-01,4.704031580946601647e-07,1.951611921032007983e-08
3.612831551628262750e-01,1.509076792793369142e-06,6.488501865373535755e-08
3.926990816987241950e-01,4.446702103703850319e-06,1.983377175013383053e-07
4.241150082346221151e-01,1.212170068454213398e-05,5.614223339011079010e-07
4.555309347705200906e-01,3.075781956751940402e-05,1.480648504214168509e-06
4.869468613064180107e-01,7.303473593837053908e-05,3.657394138567282990e-06
5.183627878423159308e-01,1.630489588323643106e-04,8.499851479068906547e-06
5.497787143782139063e-01,3.436561251448548918e-04,1.865754867227143598e-05
5.811946409141117709e-01,6.863755832274321973e-04,3.880916203529691705e-05
6.126105674500097464e-01,1.303436005675978181e-03,7.671033197752126747e-05
6.440264939859076110e-01,2.360682441399621512e-03,1.444141008582345415e-04
6.754424205218055866e-01,4.089115396006087234e-03,2.594280662527307020e-04
7.068583470577035621e-01,6.792080830659507143e-03,4.453934700297549547e-04
7.382742735936014267e-01,1.084492202663897911e-02,7.317289917019980392e-04
7.696902001294994022e-01,1.668451033886993520e-02,1.151680986286683812e-03
8.011061266653973778e-01,2.478753443023453892e-02,1.738467554877871999e-03
8.325220532012952424e-01,3.563846682825508316e-02,2.519734649610393725e-03
8.639379797371932179e-01,4.969018746458079422e-02,3.511268681912503142e-03
8.953539062730911935e-01,6.732171015732263397e-02,4.711606231089297131e-03
9.267698328089890580e-01,8.879795030367940156e-02,6.099553336104605698e-03
9.581857593448870336e-01,1.142360526480982325e-01,7.636423088121871601e-03
9.896016858807848982e-01,1.435819227185715641e-01,9.273909553250601900e-03
1.021017612416682763e+00,1.765998035832272439e-01,1.096702404945997834e-02
1.052433538952580738e+00,2.128771937163048134e-01,1.268974384037487198e-02
1.083849465488478714e+00,2.518467220853343735e-01,1.444952593482935928e-02
1.115265392024376467e+00,2.928250385360631758e-01,1.629633278032871849e-02
1.146681318560274443e+00,3.350658975803300632e-01,1.832285267034288942e-02
1.178097245096172418e+00,3.778209488145821138e-01,2.065511047217110166e-02
1.209513171632070394e+00,4.203988654096389443e-01,2.343574735452437496e-02
1.240929098167968370e+00,4.622130617182713119e-01,2.680452221911012317e-02
1.272345024703866123e+00,5.028109886191313160e-01,3.088103445644649336e-02
1.303760951239764099e+00,5.418828120848327989e-01,3.575327464499883368e-02
1.335176877775662074e+00,5.792521399320753606e-01,4.147328008374506075e-02
1.366592804311560050e+00,6.148546041741168589e-01,4.805904282590929555e-02
1.398008730847458025e+00,6.487109064090207378e-01,5.550060113775067555e-02
1.429424657383356001e+00,6.808998685066010026e-01,6.376802669972481130e-02
1.460840583919253755e+00,7.115350784014760066e-01,7.281947016515494253e-02
1.492256510455151730e+00,7.407467593674268436e-01,8.260812590174639036e-02
1.523672436991049706e+00,7.686690157310707150e-01,9.308761870123803683e-02
1.555088363526947681e+00,7.954317434432440770e-01,1.042157645669662819e-01
1.586504290062845657e+00,8.211561420386164212e-01,1.159569029708051036e-01
1.617920216598743410e+00,8.459527499036998410e-01,1.282830883779199904e-01
1.649336143134641386e+00,8.699210847007310399e-01,1.411744262008344797e-01
1.680752069670539361e+00,8.931501900688587625e-01,1.546187931907522239e-01
1.712167996206437337e+00,9.157196020793546554e-01,1.686111272281350937e-01
1.743583922742335313e+00,9.377004246765486828e-01,1.831524233921570655e-01
1.774999849278233288e+00,9.591563351769967216e-01,1.982485380303301292e-01
1.806415775814131042e+00,9.801444327403018297e-01,2.139088800133035484e-01
1.837831702350029017e+00,1.000715902601108764e+00,2.301450552833724794e-01
1.869247628885926993e+00,1.020916505116979955e+00,2.469695233076610874e-01
1.900663555421824968e+00,1.040786918399785321e+00,2.643943187024229702e-01
1.932079481957722944e+00,1.060362971836390722e+00,2.824298856564975702e-01
1.963495408493620697e+00,1.079675809044438273e+00,3.010840655020090018e-01
1.994911335029518673e+00,1.098752015484800060e+00,3.203612684946735567e-01
2.026327261565416649e+00,1.117613739997219025e+00,3.402618499539649122e-01
2.057743188101314402e+00,1.136278832328091015e+00,3.607816992110034482e-01
