z,hybrid_u0,hybrid_u1
9.999999999999999547e-07,0.000000000000000000e+00,0.000000000000000000e+00
7.992760010005751925e-02,6.107400844086966150e-08,1.152504221184400713e-09
1.565324719167854872e-01,3.657890648072278395e-07,1.031349742819380515e-08
2.291433280117765037e-01,1.615316129049422018e-06,5.419272022213802110e-08
2.958699889281516393e-01,5.975749898811488664e-06,2.209603394930686784e-07
3.703939909398855646e-01,2.220679986266713528e-05,9.082817308010779753e-07
4.302303677422358863e-01,6.630703711269208406e-05,2.817991107664597709e-06
4.996829308861187036e-01,2.067933119284167277e-04,9.591713151085499460e-06
5.471212061610887245e-01,4.802288413738865476e-04,2.240635981020237650e-05
6.018054361114706374e-01,1.154840514061361480e-03,5.795161595688451834e-05
6.768675064526218366e-01,3.187268501147587883e-03,1.794595396039624284e-04
7.340575199589128852e-01,7.008958720083348012e-03,4.025194556986249391e-04
7.714633704965803140e-01,1.193158127059742307e-02,6.736374653837900323e-04
8.282614990622252371e-01,2.349977315481652576e-02,1.420125152997641412e-03
8.611352947707685557e-01,3.508729840518291787e-02,2.045283795398109526e-03
9.330747961703138582e-01,6.932479858610125778e-02,4.262047155206229523e-03
9.736304079716546767e-01,1.013174534552807038e-01,5.634789687826244169e-03
1.013255886459633937e+00,1.410491090306938700e-01,7.106367692915792171e-03
1.051725198355385915e+00,1.873311779472388028e-01,8.476069753277960112e-03
1.089070910847803608e+00,2.383112957680844357e-01,9.660269957737757998e-03
1.158891618682100999e+00,3.410949768610588295e-01,1.229900008618446672e-02
1.190400855599140773e+00,3.901219087854102541e-01,1.333872158863750289e-02
1.223350510019560522e+00,4.396641930475447269e-01,1.522359923523090332e-02
1.255446161608356315e+00,4.853581789634596189e-01,1.809879261255832247e-02
1.287087672772246894e+00,5.275878867779341119e-01,2.207987662410216059e-02
1.319612189128976709e+00,5.681496261880982779e-01,2.738587359666648166e-02
1.355346638662539904e+00,6.097421952274344470e-01,3.456990626985807780e-02
1.391527882689723494e+00,6.489096587157752172e-01,4.319011703721747225e-02
1.433588216966324769e+00,6.914777148546056296e-01,5.469109232213959643e-02
1.474274544530328912e+00,7.297951647599119074e-01,6.716873387013860830e-02
1.530243692235828235e+00,7.793870775043397758e-01,8.606451620697777583e-02
1.565949077684317015e+00,8.086297392271853957e-01,9.913249420493012998e-02
1.603095089267187801e+00,8.377580093321115307e-01,1.133428434483520764e-01
1.641662216080518322e+00,8.667495537023039986e-01,1.286764330266129686e-01
1.681612007210474768e+00,8.955700383000587683e-01,1.451078257245945191e-01
1.722891445575944980e+00,9.241814117308342347e-01,1.626161218411613929e-01
1.765436980865337624e+00,9.525528542550218969e-01,1.812049997902106524e-01
1.809176923158663630e+00,9.806744556499408239e-01,2.009320826043797525e-01
1.854031716599136015e+00,1.008571276638666969e+00,2.219402976836127028e-01
1.899912447564054752e+00,1.036311852458577487e+00,2.444749072951422075e-01
1.946718820654152360e+00,1.064003951501764966e+00,2.688679374588059945e-01
1.994338284011247131e+00,1.091774338265383504e+00,2.954831536185056340e-01
2.042647616862291571e+00,1.119737156760842511e+00,3.246351182647818634e-01
2.091517227008642621e+00,1.147962037010380243e+00,3.565112683701515683e-01
2.140817243111770463e+00,1.176453369619025802e+00,3.911250687529275183e-01
2.190423856309280826e+00,1.205146509044864978e+00,4.283127077994982601e-01
2.240224483058969707e+00,1.233919279882789377e+00,4.677671375555079725e-01
2.290120940841009478e+00,1.262612390850156086e+00,5.090921700829076357e-01
2.340030534651065697e+00,1.291051585611752817e+00,5.518585440382920426e-01
2.389885449777686688e+00,1.319066341656702335e+00,5.956496425333044353e-01
2.439631053011119377e+00,1.346502709348184501e+00,6.400917654212511243e-01
2.489223684581707730e+00,1.373230134096551591e+00,6.848693438435107250e-01
2.538628385569042578e+00,1.399143387744201439e+00,7.297283778482396288e-01
2.587816839363496157e+00,1.424161176156148567e+00,7.744721778588850025e-01
2.636765661797633165e+00,1.448222900960817405e+00,8.189530631468578958e-01
2.685455071687965045e+00,1.471284719628781712e+00,8.630627371671784065e-01
2.733867911608465651e+00,1.493315660376915543e+00,9.067230702016848554e-01
2.781988959219517721e+00,1.514294208678009790e+00,9.498781944751890638e-01
2.829804461920856884e+00,1.534205530185430488e+00,9.924882273651360887e-01
2.877301832735145393e+00,1.553039333520729759e+00,1.034524574515870654e+00
2.924469456280015311e+00,1.570788290157105305e+00,1.075966579981965099e+00
2.971296565995399153e+00,1.587446895902059341e+00,1.116799229047376940e+00
3.017773165002659574e+00,1.603010658528831955e+00,1.157011620836141841e+00
