z,mol_u0,mol_u1
1.570796326794896697e-02,-5.305771045424799565e-19,1.635821667135838899e-17
4.712388980384690090e-02,-1.911614329626249548e-17,5.724808026204251779e-16
7.853981633974482790e-02,-3.447089060479875469e-16,1.001923061939156499e-14
1.099557428756427757e-01,-4.148867165689170604e-15,1.169412511008474104e-13
1.413716694115406958e-01,-3.750340047189994889e-14,1.024204369590531134e-12
1.727875959474386158e-01,-2.716394705801330542e-13,7.181143112376054592e-12
2.042035224833365636e-01,-1.642537042205340672e-12,4.199448795668393878e-11
2.356194490192345115e-01,-8.530302995176972207e-12,2.107140966036707511e-10
2.670353755551324593e-01,-3.884997020677778467e-11,9.262550104549744275e-10
2.984513020910303793e-01,-1.576636077406877865e-10,3.624291917256914380e-09
3.298672286269282994e-01,-5.774088269100975659e-10,1.278349624419340179e-08
3.612831551628262750e-01,-1.928043654519152196e-09,4.106399603713380035e-08
3.926990816987241950e-01,-5.920327265003172324e-09,1.211579897151825994e-07
4.241150082346221151e-01,-1.683879393706685487e-08,3.307066757400543108e-07
4.555309347705200906e-01,-4.463852904588591778e-08,8.402538102022981231e-07
4.869468613064180107e-01,-1.108892307262098070e-07,1.997932339194774868e-06
5.183627878423159308e-01,-2.593676195568501181e-07,4.466828665804277541e-06
5.497787143782139063e-01,-5.736241782341511797e-07,9.429398902667803658e-06
5.811946409141117709e-01,-1.204136979677969229e-06,1.886542972039672743e-05
6.126105674500097464e-01,-2.407452747788659288e-06,3.589432079766708198e-05
6.440264939859076110e-01,-4.598759667852835371e-06,6.514971094296009737e-05
6.754424205218055866e-01,-8.417518403120683807e-06,1.131287445801075497e-04
7.068583470577035621e-01,-1.480320722846897881e-05,1.884367874854130022e-04
7.382742735936014267e-01,-2.507530792567378266e-05,3.018398461425466348e-04
7.696902001294994022e-01,-4.100900895454680716e-05,4.660485568788039689e-04
8.011061266653973778e-01,-6.489646661342236302e-05,6.951918820662945225e-04
8.325220532012952424e-01,-9.958345555033097673e-05,1.003991165780569045e-03
8.639379797371932179e-01,-1.484731263862036806e-04,1.406704829283299957e-03
8.953539062730911935e-01,-2.154921646615899893e-04,1.915965789450767070e-03
9.267698328089890580e-01,-3.050192460968620877e-04,2.541663646327304606e-03
9.581857593448870336e-01,-4.217803467308148127e-04,3.290023422443554956e-03
9.896016858807848982e-01,-5.707191905025172122e-04,4.163002126513474892e-03
1.021017612416682763e+00,-7.568531119647231228e-04,5.158071715519674076e-03
1.052433538952580738e+00,-9.851244716697897964e-04,6.268395263098955339e-03
1.083849465488478714e+00,-1.260255508492415764e-03,7.483346171771946588e-03
1.115265392024376467e+00,-1.586610531200204717e-03,8.789278812909133431e-03
1.146681318560274443e+00,-1.968064258998965775e-03,1.017043841729827446e-02
1.178097245096172418e+00,-2.407869636265943126e-03,1.160989821424724192e-02
1.209513171632070394e+00,-2.908513294627858726e-03,1.309042839737465345e-02
1.240929098167968370e+00,-3.471542702955803580e-03,1.459522802842878539e-02
1.272345024703866123e+00,-4.097346578599669886e-03,1.610848085972089658e-02
1.303760951239764099e+00,-4.784869942865806886e-03,1.761572385804753560e-02
1.335176877775662074e+00,-5.531247853942432811e-03,1.910403942392945725e-02
1.366592804311560050e+00,-6.331347800111020163e-03,2.056209733146178997e-02
1.398008730847458025e+00,-7.177220234141508046e-03,2.198008027780249188e-02
1.429424657383356001e+00,-8.057469675626356340e-03,2.334952872421675041e-02
1.460840583919253755e+00,-8.956574609243539431e-03,2.466313808589144438e-02
1.492256510455151730e+00,-9.854201877992286446e-03,2.591453605262351856e-02
1.523672436991049706e+00,-1.072457861611392053e-02,2.709806146693150009e-02
1.555088363526947681e+00,-1.153599968261260177e-02,2.820855994792684229e-02
1.586504290062845657e+00,-1.225055845794233329e-02,2.924120609552417760e-02
1.617920216598743410e+00,-1.282419122363993337e-02,3.019135800268957226e-02
1.649336143134641386e+00,-1.320711808123197113e-02,3.105444697692256659e-02
1.680752069670539361e+00,-1.334474525637669926e-02,3.182590362553609081e-02
1.712167996206437337e+00,-1.317906462575463636e-02,3.250112044968262587e-02
1.743583922742335313e+00,-1.265054771607646011e-02,3.307545041025367755e-02
1.774999849278233288e+00,-1.170048596954046012e-02,3.354424015696826772e-02
1.806415775814131042e+00,-1.027368069924401196e-02,3.390289536966122064e-02
1.837831702350029017e+00,-8.321339747559861749e-03,3.414697365368477011e-02
1.869247628885926993e+00,-5.803998817445883002e-03,3.427229753248418886e-02
1.900663555421824968e+00,-2.694259391086619750e-03,3.427507649981428178e-02
1.932079481957722944e+00,1.020872108018744265e-03,3.415202372059625985e-02
1.963495408493620697e+00,5.338241456706461358e-03,3.390045187184709263e-02
1.994911335029518673e+00,1.023754871612372191e-02,3.351833711446304542e-02
2.026327261565416649e+00,1.568116273202943556e-02,3.300435277326184413e-02
2.057743188101314402e+00,2.161471581432649475e-02,3.235789135772738911e-02
2.089159114637212600e+00,2.796836050700230239e-02,3.157910262247087124e-02
2.120575041173110353e+00,3.465852953583219154e-02,3.066896536543402968e-02
2.151990967709008551e+00,4.159004496475893903e-02,2.962938729844331875e-02
2.183406894244906304e+00,4.865844700079448304e-02,2.846330853620691187e-02
2.214822820780804058e+00,5.575243462837512626e-02,2.717478003021930530e-02
2.246238747316702256e+00,6.275632576704687215e-02,2.576899468596743556e-02
2.277654673852600009e+00,6.955245920476257893e-02,2.425225815055958786e-02
2.309070600388498207e+00,7.602347768438892650e-02,2.263189424020178517e-02
2.340486526924395960e+00,8.205445098826287531e-02,2.091608614903864641e-02
2.371902453460293714e+00,8.753481764137967247e-02,1.911365954685297769e-02
2.403318379996191911e+00,9.236014178797009866e-02,1.723381775394920018e-02
2.434734306532089665e+00,9.643369631233583705e-02,1.528584201370752731e-02
2.466150233067987863e+00,9.966789348552716754e-02,1.327877062815330071e-02
2.497566159603885616e+00,1.019855900254958009e-01,1.122106879490548763e-02
2.528982086139783370e+00,1.033212945795733140e-01,9.120296973700607948e-03
2.560398012675681567e+00,1.036223026376632134e-01,6.982781577553600835e-03
2.591813939211579321e+00,1.028497772259441972e-01,4.813290280747711120e-03
2.623229865747477518e+00,1.009797838820482851e-01,2.614716458893812275e-03
2.654645792283375272e+00,9.800427577340840857e-02,3.877817215491209820e-04
2.686061718819273469e+00,9.393200964080151982e-02,-1.869231605404603896e-03
2.717477645355171223e+00,8.878935555020889270e-02,-4.160708604209936365e-03
2.748893571891068976e+00,8.262094301249929551e-02,-6.493889724640342608e-03
2.780309498426967174e+00,7.549006263295555963e-02,-8.879030603148138634e-03
2.811725424962864928e+00,6.747871598653792935e-02,-1.132955873401077923e-02
2.843141351498763125e+00,5.868717668450245534e-02,-1.386226252087424150e-02
2.874557278034660879e+00,4.923289077166465716e-02,-1.649755985920288437e-02
2.905973204570558632e+00,3.924849782554179489e-02,-1.925991982254363771e-02
2.937389131106456830e+00,2.887868391487453945e-02,-2.217858150272401449e-02
2.968805057642354583e+00,1.827552697275341975e-02,-2.528882501498352572e-02
