z,reference_u0,reference_u1
0.000000000000000000e+00,1.954302145182498283e-35,-2.357088949688658023e-35
1.256637061435917128e-04,3.925768615139338741e-35,-4.746925745331423002e-35
2.513274122871834255e-04,5.914513504551756001e-35,-7.169874768992557125e-35
3.769911184307751383e-04,7.920651742283352835e-35,-9.626304265415572634e-35
5.026548245743668510e-04,9.944298952392100507e-35,-1.211658628780302470e-34
6.283185307179586180e-04,1.198557145072796542e-34,-1.464109673537291742e-34
7.539822368615502765e-04,1.404458625157102658e-34,-1.720021539185684584e-34
8.796459430051419351e-04,1.612146107134411363e-34,-1.979432596411450326e-34
1.005309649148733702e-03,1.821631433265770586e-34,-2.242381612114410947e-34
1.130973355292325469e-03,2.032926516839326885e-34,-2.508907753346860075e-34
1.256637061435917236e-03,2.246043342580161837e-34,-2.779050591290225698e-34
1.382300767579508786e-03,2.460993967062586526e-34,-3.052850105270080424e-34
1.507964473723100553e-03,2.677790519124825262e-34,-3.330346686809895915e-34
1.633628179866692320e-03,2.896445200286100299e-34,-3.611581143723892822e-34
1.759291886010283870e-03,3.116970285166128033e-34,-3.896594704249359107e-34
1.884955592153875637e-03,3.339378121907040778e-34,-4.185429021218791712e-34
2.010619298297467404e-03,3.563681132597755526e-34,-4.478126176272255848e-34
2.136283004441059171e-03,3.789891813700792652e-34,-4.774728684110313860e-34
2.261946710584650938e-03,4.018022736481570257e-34,-5.075279496787924367e-34
2.387610416728242705e-03,4.248086547440197643e-34,-5.379822008049707678e-34
2.513274122871834472e-03,4.480095968745737142e-34,-5.688400057706897780e-34
2.638937829015425805e-03,4.714063798673026243e-34,-6.001057936056473549e-34
2.764601535159017572e-03,4.950002912041993725e-34,-6.317840388342766823e-34
2.890265241302609339e-03,5.187926260659551051e-34,-6.638792619262016023e-34
3.015928947446201106e-03,5.427846873764025678e-34,-6.963960297510216005e-34
3.141592653589792873e-03,5.669777858472190142e-34,-7.293389560374709735e-34
3.267256359733384640e-03,5.913732400228867271e-34,-7.627127018369892125e-34
3.392920065876976407e-03,6.159723763259157698e-34,-7.965219759917477627e-34
3.518583772020567740e-03,6.407765291023283689e-34,-8.307715356071701920e-34
3.644247478164159507e-03,6.657870406674092048e-34,-8.654661865289946051e-34
3.769911184307751274e-03,6.910052613517182756e-34,-9.006107838249113186e-34
3.895574890451343041e-03,7.164325495473742864e-34,-9.362102322708276256e-34
4.021238596594934808e-03,7.420702717546044607e-34,-9.722694868417965990e-34
4.146902302738526142e-03,7.679198026285671867e-34,-1.008793553207657830e-33
4.272566008882118342e-03,7.939825250264439940e-34,-1.045787488233428074e-33
4.398229715025709675e-03,8.202598300548086410e-34,-1.083256400484494494e-33
4.523893421169301876e-03,8.467531171172688687e-34,-1.121205450736647957e-33
4.649557127312893209e-03,8.734637939623880022e-34,-1.159639852491004113e-33
4.775220833456485410e-03,9.003932767318817839e-34,-1.198564872493860495e-33
4.900884539600076743e-03,9.275429900091001868e-34,-1.237985831261529662e-33
5.026548245743668944e-03,9.549143668677878801e-34,-1.277908103610199705e-33
5.152211951887260277e-03,9.825088489211305309e-34,-1.318337119190867968e-33
5.277875658030851611e-03,1.010327886371085573e-33,-1.359278363029392435e-33
5.403539364174443811e-03,1.038372938058002917e-33,-1.400737376071714017e-33
5.529203070318035144e-03,1.066645471510530132e-33,-1.442719755734290240e-33
5.654866776461627345e-03,1.095146962995814574e-33,-1.485231156459795622e-33
5.780530482605218678e-03,1.123878897569993412e-33,-1.528277290278133869e-33
5.906194188748810879e-03,1.152842769128979746e-33,-1.571863927372812200e-33
6.031857894892402212e-03,1.182040080459547058e-33,-1.615996896652730134e-33
6.157521601035993546e-03,1.211472343290706842e-33,-1.660682086329424653e-33
6.283185307179585746e-03,1.241141078345392435e-33,-1.705925444499836911e-33
6.408849013323177080e-03,1.271047815392439118e-33,-1.751732979734635388e-33
6.534512719466769280e-03,1.301194093298870918e-33,-1.798110761672159798e-33
6.660176425610360613e-03,1.331581460082492066e-33,-1.845064921618031779e-33
6.785840131753952814e-03,1.362211472964786011e-33,-1.892601653150485038e-33
6.911503837897544147e-03,1.393085698424122687e-33,-1.940727212731471406e-33
7.037167544041135481e-03,1.424205712249277435e-33,-1.989447920323591384e-33
7.162831250184727681e-03,1.455573099593263825e-33,-2.038770160012906988e-33
7.288494956328319015e-03,1.487189455027480355e-33,-2.088700380637692333e-33
7.414158662471911215e-03,1.519056382596173623e-33,-2.139245096423171201e-33
7.539822368615502549e-03,1.551175495871221868e-33,-2.190410887622304555e-33
7.665486074759094749e-03,1.583548418007237721e-33,-2.242204401162675551e-33
7.791149780902686083e-03,1.616176781796993900e-33,-2.294632351299540802e-33
7.916813487046278283e-03,1.649062229727174432e-33,-2.347701520275085888e-33
8.042477193189869616e-03,1.682206414034452422e-33,-2.401418758983965835e-33
8.168140899333460950e-03,1.715610996761894024e-33,-2.455790987645169908e-33
8.293804605477052283e-03,1.749277649815698715e-33,-2.510825196480275728e-33
8.419468311620645351e-03,1.783208055022265603e-33,-2.566528446398156342e-33
8.545132017764236684e-03,1.817403904185599106e-33,-2.622907869686192580e-33
8.670795723907828018e-03,1.851866899145050591e-33,-2.679970670708054352e-33
8.796459430051419351e-03,1.886598751833398369e-33,-2.737724126608112788e-33
8.922123136195012419e-03,1.921601184335265688e-33,-2.796175588022537287e-33
9.047786842338603752e-03,1.956875928945889744e-33,-2.855332479797153419e-33
9.173450548482195085e-03,1.992424728230228690e-33,-2.915202301712107183e-33
9.299114254625786419e-03,2.028249335082417274e-33,-2.975792629213410546e-33
9.424777960769377752e-03,2.064351512785575183e-33,-3.037111114151429493e-33
9.550441666912970820e-03,2.100733035071964007e-33,-3.099165485526370366e-33
9.676105373056562153e-03,2.137395686183499656e-33,-3.161963550240842484e-33
9.801769079200153487e-03,2.174341260932619216e-33,-3.225513193859550409e-33
9.927432785343744820e-03,2.211571564763506670e-33,-3.289822381376190120e-33
1.005309649148733789e-02,2.249088413813680580e-33,-3.354899157987607563e-33
1.017876019763092922e-02,2.286893634975942707e-33,-3.420751649875293500e-33
1.030442390377452055e-02,2.324989065960691314e-33,-3.487388064994279656e-33
1.043008760991811189e-02,2.363376555358603612e-33,-3.554816693869502510e-33
1.055575131606170322e-02,2.402057962703684273e-33,-3.623045910399704558e-33
1.068141502220529629e-02,2.441035158536689578e-33,-3.692084172668944861e-33
1.080707872834888762e-02,2.480310024468923790e-33,-3.761940023765782527e-33
1.093274243449247896e-02,2.519884453246410138e-33,-3.832622092610211811e-33
1.105840614063607029e-02,2.559760348814443258e-33,-3.904139094788415198e-33
1.118406984677966162e-02,2.599939626382522752e-33,-3.976499833395410423e-33
1.130973355292325469e-02,2.640424212489666834e-33,-4.049713199885648219e-33
1.143539725906684602e-02,2.681216045070115981e-33,-4.123788174931662057e-33
1.156106096521043736e-02,2.722317073519421132e-33,-4.198733829290821193e-33
1.168672467135402869e-02,2.763729258760924277e-33,-4.274559324680264347e-33
1.181238837749762176e-02,2.805454573312633173e-33,-4.351273914660098847e-33
1.193805208364121309e-02,2.847495001354490508e-33,-4.428886945524932303e-33
1.206371578978480442e-02,2.889852538796037874e-33,-4.507407857203820967e-33
1.218937949592839576e-02,2.932529193344486505e-33,-4.586846184168697043e-33
1.231504320207198709e-02,2.975526984573186241e-33,-4.667211556351373472e-33
1.244070690821558016e-02,3.018847943990500919e-33,-4.748513700069189152e-33
1.256637061435917149e-02,3.062494115109091568e-33,-4.830762438959373955e-33
1.269203432050276283e-02,3.106467553515611848e-33,-4.913967694922228643e-33
1.281769802664635416e-02,3.150770326940815397e-33,-4.998139489073184704e-33
1.294336173278994723e-02,3.195404515330077130e-33,-5.083287942703826192e-33
1.306902543893353856e-02,3.240372210914337402e-33,-5.169423278251964593e-33
1.319468914507712989e-02,3.285675518281459429e-33,-5.256555820280848128e-33
1.332035285122072123e-02,3.331316554448021211e-33,-5.344695996467576654e-33
1.344601655736431256e-02,3.377297448931520026e-33,-5.433854338600822068e-33
1.357168026350790563e-02,3.423620343823019637e-33,-5.524041483587933575e-33
1.369734396965149696e-02,3.470287393860219655e-33,-5.615268174471507879e-33
1.382300767579508829e-02,3.517300766500958707e-33,-5.707545261455520092e-33
1.394867138193867963e-02,3.564662641997165775e-33,-5.800883702941091303e-33
1.407433508808227096e-02,3.612375213469235752e-33,-5.895294566572000921e-33
1.419999879422586403e-02,3.660440686980856591e-33,-5.990789030289999892e-33
1.432566250036945536e-02,3.708861281614285991e-33,-6.087378383400057546e-33
1.445132620651304670e-02,3.757639229546058465e-33,-6.185074027645584467e-33
1.457698991265663803e-02,3.806776776123167939e-33,-6.283887478293764850e-33
1.470265361880023110e-02,3.856276179939680053e-33,-6.383830365231065357e-33
1.482831732494382243e-02,3.906139712913820684e-33,-6.484914434069021087e-33
1.495398103108741376e-02,3.956369660365508529e-33,-6.587151547260393750e-33
1.507964473723100510e-02,4.006968321094363912e-33,-6.690553685225796474e-33
1.520530844337459643e-02,4.057938007458165763e-33,-6.795132947490859826e-33
1.533097214951818950e-02,4.109281045451797130e-33,-6.900901553834088205e-33
1.545663585566178083e-02,4.160999774786642974e-33,-7.007871845445439454e-33
1.558229956180537217e-02,4.213096548970476492e-33,-7.116056286095764536e-33
1.570796326794896350e-02,4.265573735387812093e-33,-7.225467463317201697e-33
1.583362697409255657e-02,4.318433715380745538e-33,-7.336118089594625008e-33
1.595929068023614616e-02,4.371678884330273042e-33,-7.448021003568212982e-33
1.608495438637973923e-02,4.425311651738097547e-33,-7.561189171247319265e-33
1.621061809252333230e-02,4.479334441308926951e-33,-7.675635687235638554e-33
1.633628179866692190e-02,4.533749691033260195e-33,-7.791373775967875759e-33
1.646194550481051497e-02,4.588559853270672152e-33,-7.908416792957951237e-33
1.658760921095410457e-02,4.643767394833595946e-33,-8.026778226058874857e-33
1.671327291709769763e-02,4.699374797071606815e-33,-8.146471696734410666e-33
1.683893662324129070e-02,4.755384555956212298e-33,-8.267510961342578706e-33
1.696460032938488030e-02,4.811799182166149437e-33,-8.389909912431191021e-33
1.709026403552847337e-02,4.868621201173191048e-33,-8.513682580045441023e-33
1.721592774167206297e-02,4.925853153328472678e-33,-8.638843133047736434e-33
1.734159144781565604e-02,4.983497593949332062e-33,-8.765405880449805897e-33
1.746725515395924910e-02,5.041557093406671323e-33,-8.893385272757273593e-33
1.759291886010283870e-02,5.100034237212844660e-33,-9.022795903326733328e-33
1.771858256624643177e-02,5.158931626110073574e-33,-9.153652509735506832e-33
1.784424627239002484e-02,5.218251876159393057e-33,-9.285969975164165647e-33
1.796990997853361444e-02,5.277997618830130798e-33,-9.419763329791908283e-33
1.809557368467720750e-02,5.338171501089925548e-33,-9.555047752204971916e-33
1.822123739082079710e-02,5.398776185495292200e-33,-9.691838570818147044e-33
1.834690109696439017e-02,5.459814350282718499e-33,-9.830151265309518268e-33
1.847256480310798324e-02,5.521288689460325565e-33,-9.970001468068581725e-33
1.859822850925157284e-02,5.583201912900068954e-33,-1.011140496565781992e-32
1.872389221539516591e-02,5.645556746430503518e-33,-1.025437770028788582e-32
1.884955592153875550e-02,5.708355931930097704e-33,-1.039893577130650987e-32
1.897521962768234857e-02,5.771602227421117134e-33,-1.054509543670123522e-32
1.910088333382594164e-02,5.835298407164077455e-33,-1.069287311461614811e-32
1.922654703996953124e-02,5.899447261752755522e-33,-1.084228538488268428e-32
1.935221074611312431e-02,5.964051598209784230e-33,-1.099334899056466588e-32
1.947787445225671391e-02,6.029114240082820040e-33,-1.114608083951769212e-32
1.960353815840030697e-02,6.094638027541292101e-33,-1.130049800596301640e-32
1.972920186454390004e-02,6.160625817473735706e-33,-1.145661773207601256e-32
1.985486557068748964e-02,6.227080483585715543e-33,-1.161445742958941766e-32
1.998052927683108271e-02,6.294004916498332602e-33,-1.177403468141142258e-32
2.010619298297467578e-02,6.361402023847350303e-33,-1.193536724325879092e-32
2.023185668911826537e-02,6.429274730382879639e-33,-1.209847304530511173e-32
