z,hybrid_u0,hybrid_u1
9.999999999999999547e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.651554313935703039e-02,-1.712440093365307205e-16,2.027283841120218317e-14
7.309654388343511666e-02,-1.696624356861914820e-15,1.277744960032651957e-13
1.081936102409398193e-01,-9.526974126889192019e-15,5.908536518209599023e-13
1.418950674895151365e-01,-4.254666086582616460e-14,2.358723845348033646e-12
1.743001537992044381e-01,-1.658159243233868472e-13,8.505610065166223016e-12
2.055132010657870212e-01,-5.853352663648589371e-13,2.824845748903313356e-11
2.356409877083066595e-01,-1.907059590130027542e-12,8.737312747339172286e-11
2.647912445604030940e-01,-5.801025204577028656e-12,2.536657178352809249e-10
2.930719304071001119e-01,-1.661134327508640690e-11,6.956315013004315978e-10
3.205911910351253447e-01,-4.507383515720280902e-11,1.811699070188059153e-09
3.474580087003976137e-01,-1.165511112045717457e-10,4.502906472297774882e-09
3.737836156721923153e-01,-2.886539397154883390e-10,1.072838673117869320e-08
3.996837823922921862e-01,-6.879186261552279475e-10,2.460454591534537178e-08
4.252819943824329152e-01,-1.584592907445859148e-09,5.453181061476947267e-08
4.507130637897218128e-01,-3.543065740826954270e-09,1.172450590082466509e-07
4.761256587624924097e-01,-7.722090147088482445e-09,2.454492809894153737e-07
5.016812068119402834e-01,-1.647091854602293090e-08,5.021043053666904910e-07
5.275478398278579117e-01,-3.450611506042864569e-08,1.006912831887112965e-06
5.538920866373741037e-01,-7.121659477228768090e-08,1.984865246329474401e-06
5.808728827448091936e-01,-1.451384306278206191e-07,3.853977810669419926e-06
6.086393767315977366e-01,-2.925557374034743653e-07,7.381328130197175011e-06
6.373783149045183505e-01,-5.844427897781815200e-07,1.396601210497898253e-05
6.734531346229503113e-01,-1.311576655089166508e-06,2.864174826441413674e-05
7.093456325642312210e-01,-2.757536986626787844e-06,5.642789789722908267e-05
7.377316986014617051e-01,-4.842671696568351541e-06,9.642874002081756597e-05
7.818764519138922120e-01,-1.109654906058433845e-05,1.952093811604742844e-04
8.107884542323939847e-01,-1.822605323320807528e-05,3.138225692992928795e-04
8.618920235960170206e-01,-4.204726948044996423e-05,6.238096981293430893e-04
8.883468210701002121e-01,-6.164743237975125318e-05,9.055606997488693322e-04
9.111215800527977526e-01,-8.588179376138604677e-05,1.227298558947057840e-03
9.513747767662741328e-01,-1.536152093502495236e-04,1.935822253415009700e-03
9.736715304644889546e-01,-2.036851579977771325e-04,2.478418942818780540e-03
9.964640287407396935e-01,-2.703603487355785346e-04,3.127076042642511385e-03
1.038058391640183320e+00,-4.464577048904505184e-04,4.486086365561982835e-03
1.061694284433394753e+00,-5.708535921654368751e-04,5.433691982167752552e-03
1.100034964972902873e+00,-8.411216094086796735e-04,7.111312115508620739e-03
1.134079176175175396e+00,-1.144642894957222882e-03,8.773349680413111001e-03
1.149272931480715521e+00,-1.294259439884992442e-03,9.561801463871102968e-03
1.182685069711430614e+00,-1.693937023670812449e-03,1.132162101648387202e-02
1.216161992044066054e+00,-2.169924267560712893e-03,1.312461463293410242e-02
1.234089596148937096e+00,-2.447131667179233260e-03,1.409266538574321936e-02
1.257560097566369439e+00,-2.849194636830422369e-03,1.535154334576165590e-02
1.281648616015368836e+00,-3.303887149625786297e-03,1.662697211539717473e-02
1.311063440964326698e+00,-3.923310816001832242e-03,1.815659136459616199e-02
1.340824841548391655e+00,-4.616788218061377257e-03,1.966306546869018082e-02
1.371010143577515716e+00,-5.389654391123912570e-03,2.114229554266232672e-02
1.401696897484194126e+00,-6.247852363025792506e-03,2.259101561170727065e-02
1.433130579710864216e+00,-7.203495060304908500e-03,2.401370829650830568e-02
1.473941493590463336e+00,-8.575795700668095364e-03,2.577491367877045303e-02
1.530548349993358315e+00,-1.073917491173951091e-02,2.805582504935726085e-02
1.564450201335201962e+00,-1.212348118062167926e-02,2.927977909414015978e-02
1.598667195093324223e+00,-1.360891352156052246e-02,3.042284043455046119e-02
1.633192973277041604e+00,-1.519246337866066339e-02,3.147799253632903999e-02
1.668009984516221067e+00,-1.686251108434216536e-02,3.243736455710191646e-02
