step,dt
1.000000000000000000e+00,2.506201996333107598e-02
2.000000000000000000e+00,2.587544206379066222e-02
3.000000000000000000e+00,2.003242852465652105e-02
4.000000000000000000e+00,1.964521883587522569e-02
5.000000000000000000e+00,1.940558050683928448e-02
6.000000000000000000e+00,1.920831517448631787e-02
7.000000000000000000e+00,1.905461770035448560e-02
8.000000000000000000e+00,1.564960154168200390e-02
9.000000000000000000e+00,1.528907261180009573e-02
1.000000000000000000e+01,1.170160547917506975e-02
1.100000000000000000e+01,1.120807158496865859e-02
1.200000000000000000e+01,1.071728514382786282e-02
1.300000000000000000e+01,1.122562149234374203e-02
1.400000000000000000e+01,1.072646679840376892e-02
1.500000000000000000e+01,9.996388108035873798e-03
1.600000000000000000e+01,1.050364551028070033e-02
1.700000000000000000e+01,1.195619273751118671e-02
1.800000000000000000e+01,1.314896143441058110e-02
1.900000000000000000e+01,1.221234623943882186e-02
2.000000000000000000e+01,1.565734368269819723e-02
2.100000000000000000e+01,1.224544509948876855e-02
2.200000000000000000e+01,1.536356699643869582e-02
2.300000000000000000e+01,1.514322657248857139e-02
2.400000000000000000e+01,1.482531514777100760e-02
2.500000000000000000e+01,1.397471478824516625e-02
2.600000000000000000e+01,1.281640626751565960e-02
2.700000000000000000e+01,1.516481311284749965e-02
2.800000000000000000e+01,1.762195150979407876e-02
2.900000000000000000e+01,1.425719779180571745e-02
3.000000000000000000e+01,1.979780303113839665e-02
3.100000000000000000e+01,1.926975843672029329e-02
3.200000000000000000e+01,1.091310264066155250e-02
3.300000000000000000e+01,1.851305338726649125e-02
3.400000000000000000e+01,1.892266656211515768e-02
3.500000000000000000e+01,2.392745206708642505e-02
3.600000000000000000e+01,2.404945045504539025e-02
3.700000000000000000e+01,1.915911199411326343e-02
3.800000000000000000e+01,1.851090541888119820e-02
3.900000000000000000e+01,1.798715221089016922e-02
4.000000000000000000e+01,1.756280888052199132e-02
4.100000000000000000e+01,1.724441110665946714e-02
4.200000000000000000e+01,1.703702677898477277e-02
4.300000000000000000e+01,1.694172749164483266e-02
4.400000000000000000e+01,1.695404511487459687e-02
4.500000000000000000e+01,1.706547413583252640e-02
4.600000000000000000e+01,1.726677758255244777e-02
4.700000000000000000e+01,1.755040454956397628e-02
4.800000000000000000e+01,1.791121173655862986e-02
4.900000000000000000e+01,1.834617373619946978e-02
5.000000000000000000e+01,1.885379055854734254e-02
5.100000000000000000e+01,1.943350456596679848e-02
5.200000000000000000e+01,2.008519109431326083e-02
5.300000000000000000e+01,2.080869817750361297e-02
5.400000000000000000e+01,2.160339087306337169e-02
5.500000000000000000e+01,2.246763816570040984e-02
5.600000000000000000e+01,2.339804423833265895e-02
5.700000000000000000e+01,2.438733382938467961e-02
5.800000000000000000e+01,2.434302875957128354e-02
