case,regime,margin_mol,margin_hyb,cfl_gain,dt_gain,lim_mol,lim_hyb,err_mol,err_hyb
Case 2,default,1.0,0.7732301958463507,3.6798172173421646,2.395644593736247,"C80,A20","C38,Ch5,A57",0.045734083192054194,0.013131892865570698
Case 2,loose,1.0,1.0,3.514055092317643,2.546078024756538,C100,"C54,Ch46",0.04573422972183631,0.013026341781809659
Case A1,default,0.7731916175479363,0.6021018047083666,2.614700496953026,1.887582029280651,"C19,A81","Ch47,A53",0.1428083389143402,0.021422463586877355
Case A1,loose,1.0,0.3852900028787395,5.055936427611861,1.9324700089328337,C100,Ch100,0.14283241906556912,0.021423315598214965
