case,cfl_util_mol,cfl_util_hyb,cfl_cap_gain,adapter_pct_mol,adapter_pct_hyb
1 (minimax),1.0,1.0,1.6832628160018281,11.320754716981133,9.67741935483871
1 (mean eigenvalue),1.0,1.0,1.1627929687499783,11.320754716981133,6.976744186046512
2,1.0,0.7732301958463493,3.67981721734219,19.801980198019802,57.49999999999999
3,1.0,0.9693072965666664,1.156802785855028,30.973451327433626,50.66666666666667
4,1.0,1.0,1.127237911530652,0.0,0.0
A1,0.7731916175479351,0.6021018047083653,2.6147004969530374,80.9090909090909,52.63157894736842
A2,1.0,1.0,1.8746000785644579,11.320754716981133,7.142857142857142
A3,1.0,0.49466430190281546,2.5442413426631583,16.94915254237288,25.0
