case,selector,gain_mean,gain_max,err_mol,err_hyb
1,minimax,1.6875000000000024,1.800197322970565,0.0547759154044385,0.0350446837404325
1,mean eigenvalue,1.2272727272727284,1.8749999999999607,0.0547759154044385,0.035009067877689405
2,mean eigenvalue (=minimax),2.48780487804878,2.9964568424157565,0.04573408319205421,0.013131892865570715
3,mean eigenvalue (=minimax),1.5000000000000002,2.6361828118730837,0.20825693358123334,0.06762803985716333
4,mean eigenvalue (=minimax),1.157894736842105,1.2547239923960594,0.07671753450974314,0.08047511572421254
A1,mean eigenvalue (=minimax),1.9137931034482762,2.3110910427465132,0.14280833891434022,0.02142246358687736
A2,minimax,1.8620689655172389,2.142857142857143,0.06483158620059394,0.04035339718648208
A3,mean eigenvalue (=minimax),1.63013698630137,2.0726684365543973,0.1419461566776106,0.09681090147447313
