step,dt
1.000000000000000000e+00,7.873105525930672310e-03
2.000000000000000000e+00,7.970708699234075115e-03
3.000000000000000000e+00,7.818198235346461231e-03
4.000000000000000000e+00,9.424777960769325710e-03
5.000000000000000000e+00,9.424777960769325710e-03
6.000000000000000000e+00,9.157366272391304074e-03
7.000000000000000000e+00,9.424777960769325710e-03
8.000000000000000000e+00,9.424777960769325710e-03
9.000000000000000000e+00,9.424777960769325710e-03
1.000000000000000000e+01,9.424777960769325710e-03
1.100000000000000000e+01,8.756847213805039540e-03
1.200000000000000000e+01,9.424777960769325710e-03
1.300000000000000000e+01,9.424777960769325710e-03
1.400000000000000000e+01,9.424777960769325710e-03
1.500000000000000000e+01,9.424777960769325710e-03
1.600000000000000000e+01,9.424777960769325710e-03
1.700000000000000000e+01,9.424777960769325710e-03
1.800000000000000000e+01,9.424777960769325710e-03
1.900000000000000000e+01,9.424777960769325710e-03
2.000000000000000000e+01,9.424777960769325710e-03
2.100000000000000000e+01,9.424777960769325710e-03
2.200000000000000000e+01,9.424777960769325710e-03
2.300000000000000000e+01,9.424777960769325710e-03
2.400000000000000000e+01,9.424777960769325710e-03
2.500000000000000000e+01,9.424777960769325710e-03
2.600000000000000000e+01,9.424777960769325710e-03
2.700000000000000000e+01,9.424777960769325710e-03
2.800000000000000000e+01,9.424777960769325710e-03
2.900000000000000000e+01,9.424777960769325710e-03
3.000000000000000000e+01,8.664454403748075156e-03
3.100000000000000000e+01,9.424777960769325710e-03
3.200000000000000000e+01,9.424777960769325710e-03
3.300000000000000000e+01,9.424777960769325710e-03
3.400000000000000000e+01,9.424777960769325710e-03
3.500000000000000000e+01,9.424777960769325710e-03
3.600000000000000000e+01,9.424777960769325710e-03
3.700000000000000000e+01,9.424777960769325710e-03
3.800000000000000000e+01,9.424777960769325710e-03
3.900000000000000000e+01,9.424777960769325710e-03
4.000000000000000000e+01,9.424777960769325710e-03
4.100000000000000000e+01,9.424777960769325710e-03
4.200000000000000000e+01,9.424777960769325710e-03
4.300000000000000000e+01,9.424777960769325710e-03
4.400000000000000000e+01,9.424777960769325710e-03
4.500000000000000000e+01,9.424777960769325710e-03
4.600000000000000000e+01,9.424777960769325710e-03
4.700000000000000000e+01,9.424777960769325710e-03
4.800000000000000000e+01,9.424777960769325710e-03
4.900000000000000000e+01,9.424777960769325710e-03
5.000000000000000000e+01,9.424777960769325710e-03
5.100000000000000000e+01,9.424777960769325710e-03
5.200000000000000000e+01,9.424777960769325710e-03
5.300000000000000000e+01,9.424777960769325710e-03
5.400000000000000000e+01,6.794755493385595813e-03
