z,mol_u0,mol_u1
1.570796326794896697e-02,6.069003331909528147e-16,1.848559421239111931e-17
4.712388980384690090e-02,2.125267354273039198e-14,6.652583184621063897e-16
7.853981633974482790e-02,3.721824606471304157e-13,1.198131116862741084e-14
1.099557428756427757e-01,4.346704142508946976e-12,1.440127550501441131e-13
1.413716694115406958e-01,3.809394578249176355e-11,1.299930825888358219e-12
1.727875959474386158e-01,2.672700491316107629e-10,9.401122093605854518e-12
2.042035224833365636e-01,1.564051069488245277e-09,5.675424829562383758e-11
2.356194490192345115e-01,7.853672747635631067e-09,2.942408067896600844e-10
2.670353755551324593e-01,3.455039211429222111e-08,1.337649876701394290e-09
2.984513020910303793e-01,1.353054341682739664e-07,5.418178358526096221e-09
3.298672286269282994e-01,4.776848141400976274e-07,1.980296095879395760e-08
3.612831551628262750e-01,1.535981723198771604e-06,6.598429160940776740e-08
3.926990816987241950e-01,4.536762987848682131e-06,2.021598589551111413e-07
4.241150082346221151e-01,1.239779599237290624e-05,5.736270344678368601e-07
4.555309347705200906e-01,3.153980895891658162e-05,1.516826521129559397e-06
4.869468613064180107e-01,7.509585610719433024e-05,3.757970374439010143e-06
5.183627878423159308e-01,1.681353792404736893e-04,8.764736654737838011e-06
5.497787143782139063e-01,3.554698095154364221e-04,1.932499003356737507e-05
5.811946409141117709e-01,7.123152316402374135e-04,4.043260358850062070e-05
6.126105674500097464e-01,1.357489258882685172e-03,8.054811486122459173e-05
6.440264939859076110e-01,2.467932277660300940e-03,1.532628498305731385e-04
6.754424205218055866e-01,4.292311264606342956e-03,2.793255384572019759e-04
7.068583470577035621e-01,7.160559721853727334e-03,4.888948309904231999e-04
7.382742735936014267e-01,1.148577821250565748e-02,8.237742590758032274e-04
7.696902001294994022e-01,1.775528430222932455e-02,1.339291815455499399e-03
8.011061266653973778e-01,2.650891423156991403e-02,2.105432198603795699e-03
8.325220532012952424e-01,3.830482892138688950e-02,3.206840024111271871e-03
8.639379797371932179e-01,5.367565522663617777e-02,4.741399751567526404e-03
8.953539062730911935e-01,7.308017546439705969e-02,6.817259125384704348e-03
9.267698328089890580e-01,9.685730198630182475e-02,9.548376772603582585e-03
9.581857593448870336e-01,1.251892557795104277e-01,1.304890639337490110e-02
9.896016858807848982e-01,1.580795781536893374e-01,1.742693675444234244e-02
1.021017612416682763e+00,1.953491227508781791e-01,2.277824516159092372e-02
1.052433538952580738e+00,2.366501085951017158e-01,2.918075809561400391e-02
1.083849465488478714e+00,2.814954033430564495e-01,3.669033135274081536e-02
1.115265392024376467e+00,3.292980924419199873e-01,4.533827510189298443e-02
1.146681318560274443e+00,3.794154434556836764e-01,5.513079524573742674e-02
1.178097245096172418e+00,4.311916218924700672e-01,6.605025682682393040e-02
1.209513171632070394e+00,4.839946895906438451e-01,7.805795361252408637e-02
1.240929098167968370e+00,5.372450912207080709e-01,9.109792948983290450e-02
1.272345024703866123e+00,5.904345685868052085e-01,1.051013548866095576e-01
1.303760951239764099e+00,6.431358987734424604e-01,1.199910028789551719e-01
1.335176877775662074e+00,6.950048492132128164e-01,1.356854664905077779e-01
1.366592804311560050e+00,7.457762485823609122e-01,1.521028780599404107e-01
1.398008730847458025e+00,7.952561615490004732e-01,1.691640057737578418e-01
1.429424657383356001e+00,8.433119542642696365e-01,1.867946940244806786e-01
1.460840583919253755e+00,8.898616785220962999e-01,2.049276762585323930e-01
1.492256510455151730e+00,9.348637952414202701e-01,2.235038227085945628e-01
1.523672436991049706e+00,9.783078772331448292e-01,2.424728969263830469e-01
1.555088363526947681e+00,1.020206617989614539e+00,2.617938921186955814e-01
1.586504290062845657e+00,1.060589241583396403e+00,2.814350082884726212e-01
1.617920216598743410e+00,1.099496255158642688e+00,3.013733198499018995e-01
1.649336143134641386e+00,1.136975397025696388e+00,3.215941744841046002e-01
1.680752069670539361e+00,1.173078593836555106e+00,3.420903593715269864e-01
1.712167996206437337e+00,1.207859734102774141e+00,3.628610708288728670e-01
1.743583922742335313e+00,1.241373079332576790e+00,3.839107268856681299e-01
1.774999849278233288e+00,1.273672158419421940e+00,4.052476678539397303e-01
1.806415775814131042e+00,1.304809018788389841e+00,4.268827956063813711e-01
1.837831702350029017e+00,1.334833734938832173e+00,4.488282063306599512e-01
1.869247628885926993e+00,1.363794099086360401e+00,4.710958726240631611e-01
1.900663555421824968e+00,1.391735438621469312e+00,4.936964281788908115e-01
1.932079481957722944e+00,1.418700520935639364e+00,5.166381018862765684e-01
1.963495408493620697e+00,1.444729518172547467e+00,5.399258384610278183e-01
1.994911335029518673e+00,1.469860013224197015e+00,5.635606306301651491e-01
2.026327261565416649e+00,1.494127034455313474e+00,5.875390747611596298e-01
2.057743188101314402e+00,1.517563110818153538e+00,6.118531488064441470e-01
2.089159114637212600e+00,1.540198341747061717e+00,6.364901997397178768e-01
2.120575041173110353e+00,1.562060477932272873e+00,6.614331181099598611e-01
2.151990967709008551e+00,1.583175010102140456e+00,6.866606704476173606e-01
2.183406894244906304e+00,1.603565263540915886e+00,7.121479561807944059e-01
2.214822820780804058e+00,1.623252496411109469e+00,7.378669543116157525e-01
2.246238747316702256e+00,1.642256000153147433e+00,7.637871259948721958e-01
2.277654673852600009e+00,1.660593200375094725e+00,7.898760418503530945e-01
2.309070600388498207e+00,1.678279756764861741e+00,8.161000067769630384e-01
2.340486526924395960e+00,1.695329660678798644e+00,8.424246596921339814e-01
2.371902453460293714e+00,1.711755329192294450e+00,8.688155305344730239e-01
2.403318379996191911e+00,1.727567694540407039e+00,8.952385416759353065e-01
2.434734306532089665e+00,1.742776288025846609e+00,9.216604453295302868e-01
2.466150233067987863e+00,1.757389317622304326e+00,9.480491924433904760e-01
2.497566159603885616e+00,1.771413738647499958e+00,9.743742318578447748e-01
2.528982086139783370e+00,1.784855317017434162e+00,1.000606741148943213e+00
2.560398012675681567e+00,1.797718684717108939e+00,1.026719792615139903e+00
2.591813939211579321e+00,1.810007387230641474e+00,1.052688459338229521e+00
2.623229865747477518e+00,1.821723922763250236e+00,1.078489867235245647e+00
2.654645792283375272e+00,1.832869773158014359e+00,1.104103199590520612e+00
2.686061718819273469e+00,1.843445426461228775e+00,1.129509660790732006e+00
2.717477645355171223e+00,1.853450391121581164e+00,1.154692405949170553e+00
2.748893571891068976e+00,1.862883201820673795e+00,1.179636442859753220e+00
2.780309498426967174e+00,1.871741416926103962e+00,1.204328512319123856e+00
2.811725424962864928e+00,1.880021607533978623e+00,1.228756952341254705e+00
2.843141351498763125e+00,1.887719338025942495e+00,1.252911551200552420e+00
2.874557278034660879e+00,1.894829138006898228e+00,1.276783393607441974e+00
2.905973204570558632e+00,1.901344465413900675e+00,1.300364703670046085e+00
2.937389131106456830e+00,1.907257660494124263e+00,1.323648687647327238e+00
2.968805057642354583e+00,1.912559890239959204e+00,1.346629378869161453e+00
3.000220984178252781e+00,1.917241082741474534e+00,1.369301486599765694e+00
3.031636910714150535e+00,1.921289850769335894e+00,1.391660250061736104e+00
3.063052837250048288e+00,1.924693403733039876e+00,1.413701298324634203e+00
3.094468763785946486e+00,1.927437446967449564e+00,1.435420516297546190e+00
3.125884690321844239e+00,1.929506067081816267e+00,1.456813916649692286e+00
3.157300616857742437e+00,1.930881601855563234e+00,1.477877517114754236e+00
3.188716543393640190e+00,1.931544492878754626e+00,1.498607222308734777e+00
3.220132469929537944e+00,1.931473118805965283e+00,1.518998708901464045e+00
3.251548396465436142e+00,1.930643606712121985e+00,1.539047312720010607e+00
3.282964323001333895e+00,1.929029618598275375e+00,1.558747916118527144e+00
3.314380249537232093e+00,1.926602109582421285e+00,1.578094833712066825e+00
3.345796176073129846e+00,1.923329053711576808e+00,1.597081694328911894e+00
3.377212102609027600e+00,1.919175132629537206e+00,1.615701316772769847e+00
3.408628029144925797e+00,1.914101381510378896e+00,1.633945576686792522e+00
3.440043955680823551e+00,1.908064785697323407e+00,1.651805261457873319e+00
3.471459882216721748e+00,1.901017820342561171e+00,1.669269909671461383e+00
3.502875808752619502e+00,1.892907923994046060e+00,1.686327631100403401e+00
3.534291735288517700e+00,1.883676895483297420e+00,1.702964902557922544e+00
3.565707661824415453e+00,1.873260201592511942e+00,1.719166334131102092e+00
3.597123588360313207e+00,1.861586180774246424e+00,1.734914399296453524e+00
3.628539514896211404e+00,1.848575125615029791e+00,1.750189121153604699e+00
