step,dt
1.000000000000000000e+00,5.901564400329370116e-03
2.000000000000000000e+00,6.352965666653672717e-03
3.000000000000000000e+00,6.407511861038580128e-03
4.000000000000000000e+00,6.523516883440389456e-03
5.000000000000000000e+00,6.664557424434047576e-03
6.000000000000000000e+00,6.848872806859231110e-03
7.000000000000000000e+00,7.081819373907790628e-03
8.000000000000000000e+00,7.358083169888024293e-03
9.000000000000000000e+00,7.659321938628543130e-03
1.000000000000000000e+01,7.960134127209320121e-03
1.100000000000000000e+01,8.250788589361259667e-03
1.200000000000000000e+01,8.537356073126178141e-03
1.300000000000000000e+01,8.842186852581389311e-03
1.400000000000000000e+01,9.155816725214925220e-03
1.500000000000000000e+01,9.480117677088067615e-03
1.600000000000000000e+01,9.816726840624200034e-03
1.700000000000000000e+01,1.016778884872414877e-02
1.800000000000000000e+01,1.053489467726274539e-02
1.900000000000000000e+01,1.092125673293207512e-02
2.000000000000000000e+01,1.102670710135861439e-02
2.100000000000000000e+01,1.100648683512608049e-02
2.200000000000000000e+01,1.098632359147726743e-02
2.300000000000000000e+01,1.096596500775780941e-02
2.400000000000000000e+01,1.094568715390653070e-02
2.500000000000000000e+01,1.092549353661989575e-02
2.600000000000000000e+01,1.090538753721826196e-02
2.700000000000000000e+01,1.088537241744838568e-02
2.800000000000000000e+01,1.086545132554547245e-02
2.900000000000000000e+01,1.084562730255115431e-02
3.000000000000000000e+01,1.082572050923938378e-02
3.100000000000000000e+01,1.080578021890287073e-02
3.200000000000000000e+01,1.078594266061401290e-02
3.300000000000000000e+01,1.076621048816073754e-02
3.400000000000000000e+01,1.074658626679670347e-02
3.500000000000000000e+01,1.072707248063434725e-02
3.600000000000000000e+01,1.070767154029077760e-02
3.700000000000000000e+01,1.068822149303220483e-02
3.800000000000000000e+01,1.066871825658151536e-02
3.900000000000000000e+01,1.064933192114796666e-02
4.000000000000000000e+01,1.063006457135816200e-02
4.100000000000000000e+01,1.061091824119347708e-02
4.200000000000000000e+01,1.059189492271751798e-02
4.300000000000000000e+01,1.057299657512480139e-02
4.400000000000000000e+01,1.055398910171027362e-02
4.500000000000000000e+01,1.053499784149495785e-02
4.600000000000000000e+01,1.051613413488932704e-02
4.700000000000000000e+01,1.049739969094722579e-02
4.800000000000000000e+01,1.047879621292809732e-02
4.900000000000000000e+01,1.046032540876607603e-02
5.000000000000000000e+01,1.044196468895553474e-02
5.100000000000000000e+01,1.042340575937857929e-02
5.200000000000000000e+01,1.040498098447486565e-02
5.300000000000000000e+01,1.038669189172964670e-02
5.400000000000000000e+01,1.036854004456945998e-02
5.500000000000000000e+01,1.035052705483984099e-02
5.600000000000000000e+01,1.033265459601462495e-02
5.700000000000000000e+01,1.031469734621870242e-02
5.800000000000000000e+01,1.029673738156304010e-02
5.900000000000000000e+01,1.027891829072327332e-02
6.000000000000000000e+01,1.026124167076725852e-02
6.100000000000000000e+01,1.024370921997480588e-02
6.200000000000000000e+01,1.022632275447256725e-02
6.300000000000000000e+01,1.020896693954247668e-02
6.400000000000000000e+01,1.019149064028911783e-02
6.500000000000000000e+01,1.017415987238314348e-02
6.600000000000000000e+01,1.015697647627305036e-02
6.700000000000000000e+01,1.013994246050607152e-02
6.800000000000000000e+01,1.012306002372738087e-02
6.900000000000000000e+01,1.010627173255641831e-02
7.000000000000000000e+01,1.008929371425441694e-02
7.100000000000000000e+01,1.007246619115680433e-02
7.200000000000000000e+01,1.005579151472290288e-02
7.300000000000000000e+01,1.003927229402561301e-02
7.400000000000000000e+01,1.002291142630166304e-02
7.500000000000000000e+01,1.000664328250348845e-02
7.600000000000000000e+01,9.990177303672643713e-03
7.700000000000000000e+01,9.973868170566998342e-03
7.800000000000000000e+01,9.957719108824893833e-03
7.900000000000000000e+01,9.941733728218269880e-03
8.000000000000000000e+01,9.925916067068192919e-03
8.100000000000000000e+01,9.910101377811829718e-03
8.200000000000000000e+01,9.894164725385500361e-03
8.300000000000000000e+01,9.878394143135764069e-03
8.400000000000000000e+01,9.862794254681611986e-03
8.500000000000000000e+01,9.847370255850883269e-03
8.600000000000000000e+01,9.832127982001438032e-03
8.700000000000000000e+01,9.816672084502668996e-03
8.800000000000000000e+01,9.801291708996209134e-03
8.900000000000000000e+01,9.786091692842533579e-03
9.000000000000000000e+01,9.771078855968579752e-03
9.100000000000000000e+01,9.756260882826921915e-03
9.200000000000000000e+01,9.741385979799899175e-03
9.300000000000000000e+01,9.726413716871409182e-03
9.400000000000000000e+01,9.711635487286133031e-03
9.500000000000000000e+01,9.697060397274120253e-03
9.600000000000000000e+01,9.682698738238997710e-03
9.700000000000000000e+01,9.668314952766723924e-03
9.800000000000000000e+01,7.651826946269294286e-03
9.900000000000000000e+01,9.642441551398549943e-03
1.000000000000000000e+02,9.628434448540041865e-03
1.010000000000000000e+02,9.614429853390355635e-03
1.020000000000000000e+02,4.929402319041042979e-03
