step,dt
1.000000000000000000e+00,2.427147617710900818e-02
2.000000000000000000e+00,2.514408759230888843e-02
3.000000000000000000e+00,2.693337130773872795e-02
4.000000000000000000e+00,2.334538472469424586e-02
5.000000000000000000e+00,2.316918432094450947e-02
6.000000000000000000e+00,2.118150808255186979e-02
7.000000000000000000e+00,2.072543801348689790e-02
8.000000000000000000e+00,2.107685912299219963e-02
9.000000000000000000e+00,2.170219848749044625e-02
1.000000000000000000e+01,2.228365981625657702e-02
1.100000000000000000e+01,2.329921768875200389e-02
1.200000000000000000e+01,2.413262227865952195e-02
1.300000000000000000e+01,2.503111077347562607e-02
1.400000000000000000e+01,2.596558473400955094e-02
1.500000000000000000e+01,2.701342790598767335e-02
1.600000000000000000e+01,2.800462795398073537e-02
1.700000000000000000e+01,2.919819481237917111e-02
1.800000000000000000e+01,2.976367017319327818e-02
1.900000000000000000e+01,3.072998671666792372e-02
2.000000000000000000e+01,3.089428746953469529e-02
2.100000000000000000e+01,3.167002512438515244e-02
2.200000000000000000e+01,2.853219220429399280e-02
2.300000000000000000e+01,2.934926873788939669e-02
2.400000000000000000e+01,3.304105194318043143e-02
2.500000000000000000e+01,3.266285717740000788e-02
2.600000000000000000e+01,3.028015526107049812e-02
2.700000000000000000e+01,2.962078271124522072e-02
2.800000000000000000e+01,2.816770658882532599e-02
2.900000000000000000e+01,2.677193880043570243e-02
3.000000000000000000e+01,2.544069474455827942e-02
3.100000000000000000e+01,2.417491557097033519e-02
3.200000000000000000e+01,2.297481152254938694e-02
3.300000000000000000e+01,2.183911375809373043e-02
3.400000000000000000e+01,2.075777792543255507e-02
3.500000000000000000e+01,1.973894345102990278e-02
3.600000000000000000e+01,1.878091877537250293e-02
3.700000000000000000e+01,1.787441727886385223e-02
3.800000000000000000e+01,1.701861880593166787e-02
3.900000000000000000e+01,1.621726245260877303e-02
4.000000000000000000e+01,1.545862507312580937e-02
4.100000000000000000e+01,5.762023940524052534e-03
