z,hybrid_u0,hybrid_u1
5.615786721243230806e-02,1.470785813283772351e-07,2.255457755545954521e-09
1.662772153007384401e-01,1.375355922981623285e-06,4.343415943022457562e-08
2.646347748927935783e-01,7.135505171008338967e-06,2.747938999906440976e-07
3.390582098277337142e-01,2.626923032289430721e-05,1.085858433725789436e-06
4.214677659684035738e-01,9.641339928535560633e-05,4.401275388476660784e-06
4.658991017753036923e-01,2.220695184819108383e-04,9.918468172098279692e-06
5.603146321441478950e-01,7.905403738472629917e-04,4.225864300704900128e-05
6.098779181849491859e-01,1.745301137427484857e-03,9.163918587253500937e-05
6.967083154831420488e-01,5.119638248212434253e-03,3.128360577480997435e-04
7.442253271768906053e-01,9.915253716590004956e-03,6.031103333366866128e-04
7.905916269084407588e-01,1.808441010552387998e-02,1.158578257246571219e-03
8.367351334313820610e-01,3.136310651103085129e-02,2.154446382018541332e-03
9.253784696039993873e-01,7.064244469594754827e-02,5.925316301237918207e-03
9.675725693171757236e-01,1.055968848880350364e-01,8.995097265744487688e-03
1.008395176177536490e+00,1.495385216538214490e-01,1.347605799650774226e-02
1.047791447967605594e+00,2.013927822282639835e-01,1.949595217070725431e-02
1.085965264490329929e+00,2.595419110993599232e-01,2.714161078435459867e-02
1.159013617411784214e+00,3.823892727835591643e-01,4.784427406778725411e-02
1.193635661455807018e+00,4.479106332809857371e-01,5.934425152423573185e-02
1.227682081402437841e+00,5.125719470131534505e-01,7.222489270907184178e-02
1.261090156980773536e+00,5.751098270190617701e-01,8.627335097955583787e-02
1.294299752215754884e+00,6.356495057257504078e-01,1.015003819615417913e-01
1.328636717484668051e+00,6.961365914669253030e-01,1.184392205689187016e-01
1.366688862667938764e+00,7.605216687897332628e-01,1.384782884523965696e-01
1.405552355351934457e+00,8.232246674054990443e-01,1.600404915302449937e-01
1.451096058498885455e+00,8.931084743425778960e-01,1.865286012679032712e-01
1.494254346541761258e+00,9.555379772073325784e-01,2.124478398243995203e-01
1.555962817975848456e+00,1.039958095415158823e+00,2.507856720656058136e-01
1.594880512253184168e+00,1.089205452988334155e+00,2.752321612680894702e-01
1.635427992951376641e+00,1.138060296823120821e+00,3.008873220794840986e-01
1.677578258172424785e+00,1.186345893253862416e+00,3.276646621512293578e-01
1.721290435149568365e+00,1.233888754553158495e+00,3.554869546910561784e-01
1.766507925581761063e+00,1.280520509378442862e+00,3.843172494192828581e-01
1.813154841361194425e+00,1.326078954029716872e+00,4.142069634257796173e-01
1.861130161066004041e+00,1.370408441514303188e+00,4.453432075059363671e-01
1.910301229910686294e+00,1.413361001267007033e+00,4.780573307383578219e-01
1.960500352891075382e+00,1.454799628671751055e+00,5.127612735644573316e-01
2.011528393837298090e+00,1.494603873247987158e+00,5.498192348091132109e-01
2.063166540432563867e+00,1.532676107810488686e+00,5.894102240851716301e-01
2.115193395008670763e+00,1.568946123383086366e+00,6.314477695619583608e-01
2.167402197514670448e+00,1.603372453940894671e+00,6.755873975941447673e-01
2.219613603555374404e+00,1.635940302875436680e+00,7.213042413043856405e-01
2.271681974484645927e+00,1.666657076460304365e+00,7.679977748278035143e-01
2.323495681365498555e+00,1.695546893521810761e+00,8.150848995290063126e-01
2.374973334859472818e+00,1.722645208069409684e+00,8.620614877971254364e-01
2.426058071783217862e+00,1.747994219483176570e+00,9.085302396284146154e-01
2.476711550806060647e+00,1.771639319765569764e+00,9.542026296400099028e-01
2.526908637483392006e+00,1.793626545419457985e+00,9.988854049483917308e-01
2.576633185485481814e+00,1.814000862569508987e+00,1.042460622434992823e+00
2.625874943977895004e+00,1.832805076095379349e+00,1.084865287527215560e+00
2.674627427323011730e+00,1.850079171608133288e+00,1.126073836108023363e+00
2.722886518899936714e+00,1.865859939502454656e+00,1.166084617786368405e+00
2.770649590557603847e+00,1.880180773114829007e+00,1.204910281154072615e+00
2.817914961275279850e+00,1.893071568918415215e+00,1.242571370954854926e+00
2.864681567254140582e+00,1.904558683090268989e+00,1.279092295423661430e+00
2.910948758109676238e+00,1.914664916511363613e+00,1.314498905008637308e+00
2.956716165793359163e+00,1.923409511357513146e+00,1.348817096075724642e+00
3.001983614642041331e+00,1.930808149019818343e+00,1.382072030818850550e+00
3.046751054682415027e+00,1.936872942838853806e+00,1.414287709887009692e+00
3.091018508441838897e+00,1.941612421211901029e+00,1.445486738302377727e+00
3.134786026069920961e+00,1.945031497768463957e+00,1.475690193109379988e+00
3.178053646009311617e+00,1.947131425932304483e+00,1.504917542326390967e+00
3.220821359704399534e+00,1.947909735533441822e+00,1.533186588234716208e+00
3.263089079458617814e+00,1.947360149325647827e+00,1.560513420748033120e+00
3.304856608854864319e+00,1.945472477369925235e+00,1.586912373184949487e+00
3.346123615302547538e+00,1.942232487298642507e+00,1.612395976038926149e+00
3.386889604351622562e+00,1.937621748501708430e+00,1.636974905905265842e+00
3.427153895457668131e+00,1.931617448293776462e+00,1.660657927441124837e+00
3.466915598911882501e+00,1.924192178148281807e+00,1.683451826539159146e+00
3.506173593673813649e+00,1.915313688141170756e+00,1.705361333002380464e+00
3.544926505866933031e+00,1.904944607860736605e+00,1.726389031020328924e+00
3.583172687719887506e+00,1.893042132243735409e+00,1.746535255714938062e+00
3.620910196760798616e+00,1.879557671136152575e+00,1.765797973975921975e+00
3.658136775099637195e+00,1.864436461907690079e+00,1.784172647759493247e+00
3.694849828665998093e+00,1.847617145248821924e+00,1.801652077999368995e+00
3.731046406307892749e+00,1.829031305448678646e+00,1.818226227297612185e+00
3.766723178704075803e+00,1.808602978122308080e+00,1.833882019654528461e+00
3.801876417100177541e+00,1.786248130697571712e+00,1.848603115701132005e+00
3.836501971950646794e+00,1.761874124204227954e+00,1.862369662268199777e+00
3.870595251638617729e+00,1.735379169308740366e+00,1.875158015734909922e+00
3.904151201558741402e+00,1.706651795455969900e+00,1.886940439542935444e+00
3.937164283989505797e+00,1.675570359838756129e+00,1.897684777664057298e+00
3.969628459358701900e+00,1.642002633224166175e+00,1.907354107832093915e+00
