step,dt
1.000000000000000000e+00,2.312938703328307893e-02
2.000000000000000000e+00,2.313090486846922783e-02
3.000000000000000000e+00,2.313241911524810054e-02
4.000000000000000000e+00,2.313372543741203102e-02
5.000000000000000000e+00,2.313505798956625933e-02
6.000000000000000000e+00,2.313641656392946208e-02
7.000000000000000000e+00,2.313780095299747958e-02
8.000000000000000000e+00,2.313921094944993914e-02
9.000000000000000000e+00,2.314064634605830437e-02
1.000000000000000000e+01,2.314210693559540233e-02
1.100000000000000000e+01,2.314358025414303341e-02
1.200000000000000000e+01,2.314483787967432440e-02
1.300000000000000000e+01,2.314612098741212348e-02
1.400000000000000000e+01,2.314742938380725049e-02
1.500000000000000000e+01,2.314876287512953809e-02
1.600000000000000000e+01,2.315012126738989762e-02
1.700000000000000000e+01,2.315150436626356445e-02
1.800000000000000000e+01,2.315291197701441553e-02
1.900000000000000000e+01,2.315433955649611603e-02
2.000000000000000000e+01,2.315555225213119725e-02
2.100000000000000000e+01,2.315678967466129959e-02
2.200000000000000000e+01,2.315805164332112795e-02
2.300000000000000000e+01,2.315933797678742731e-02
2.400000000000000000e+01,2.316064849311378834e-02
2.500000000000000000e+01,2.316198300966634122e-02
2.600000000000000000e+01,2.316334134306042430e-02
2.700000000000000000e+01,2.316471989319095204e-02
2.800000000000000000e+01,2.316589090709944912e-02
2.900000000000000000e+01,2.316708589240519880e-02
3.000000000000000000e+01,2.316830467978423652e-02
3.100000000000000000e+01,2.316954709904854581e-02
3.200000000000000000e+01,2.317081297909136597e-02
3.300000000000000000e+01,2.317210214783329766e-02
3.400000000000000000e+01,2.317341443216922037e-02
3.500000000000000000e+01,2.317474187662798071e-02
3.600000000000000000e+01,2.317587402532122337e-02
3.700000000000000000e+01,2.317702939504736118e-02
3.800000000000000000e+01,2.317820782671270105e-02
3.900000000000000000e+01,2.317940916011438854e-02
4.000000000000000000e+01,2.318063323389451744e-02
4.100000000000000000e+01,2.318187988549498882e-02
4.200000000000000000e+01,2.318314895111318885e-02
4.300000000000000000e+01,2.318442418601887947e-02
4.400000000000000000e+01,4.219784296951578639e-03
