z,hybrid_u0,hybrid_u1
2.967477645355164562e+00,4.670232114854187822e-02,8.788260747535871220e-02
2.998893571891062315e+00,5.061323215907039680e-02,7.701313939372701756e-02
3.030309498426960513e+00,5.468752468282669921e-02,6.641477950283099230e-02
3.061725424962858266e+00,5.891259451085020110e-02,5.616809693758173516e-02
3.093141351498756464e+00,6.327321734599034020e-02,4.634506873434805080e-02
3.124557278034654217e+00,6.775147086585675549e-02,3.700850757258382362e-02
3.155973204570551971e+00,7.232668144097320617e-02,2.821167540370491528e-02
3.187389131106450169e+00,7.697539776907739995e-02,1.999808000658342966e-02
3.218805057642347922e+00,8.167139356002731110e-02,1.240144781499826106e-02
3.250220984178246120e+00,8.638570129044141621e-02,5.445863023231911626e-03
3.281636910714143873e+00,9.108667894610560090e-02,-8.539399453575456742e-04
3.313052837250041627e+00,9.574011158330228421e-02,-6.492145975978673260e-03
3.344468763785939824e+00,1.003093494640253658e-01,-1.147130812683848193e-02
3.375884690321837578e+00,1.047554844473274210e-01,-1.580169456931660235e-02
3.407300616857735776e+00,1.090375662388570061e-01,-1.950055325277050972e-02
3.438716543393633529e+00,1.131128599984753541e-01,-2.259131432356289992e-02
3.470132469929531283e+00,1.169371466639261975e-01,-2.510275021236973644e-02
3.501548396465429480e+00,1.204650671462314110e-01,-2.706811272753899961e-02
3.532964323001327234e+00,1.236505112668619261e-01,-2.852426550155049215e-02
3.564380249537225431e+00,1.264470519130914961e-01,-2.951082878759083913e-02
3.595796176073123185e+00,1.288084243605431278e-01,-3.006935195560783355e-02
3.627212102609020938e+00,1.306890500247974152e-01,-3.024252715785267359e-02
3.658628029144919136e+00,1.320446030317852792e-01,-3.007345559057836640e-02
3.690043955680816889e+00,1.328326169163557002e-01,-2.960497563847368924e-02
3.721459882216715087e+00,1.330131274505742256e-01,-2.887906001617607243e-02
3.752875808752612841e+00,1.325493460550465630e-01,-2.793628687692061366e-02
3.784291735288511038e+00,1.314083564547653127e-01,-2.681538779606304490e-02
3.815707661824408792e+00,1.295618252167813622e-01,-2.555287360359255119e-02
3.847123588360306545e+00,1.269867145813312337e-01,-2.418273727342431373e-02
3.878539514896204743e+00,1.236659836279281610e-01,-2.273623150823620917e-02
3.909955441432102496e+00,1.195892613930561593e-01,-2.124171730817280696e-02
3.941371367968000694e+00,1.147534732046717604e-01,-1.972457869265119984e-02
3.972787294503898448e+00,1.091633993909173067e-01,-1.820719786148394456e-02
