z,reference_u0,reference_u1
0.000000000000000000e+00,0.000000000000000000e+00,4.897027832382006642e-05
1.256637061435917128e-04,4.940656458412465442e-324,4.893229946064936431e-05
2.513274122871834255e-04,9.881312916824930884e-324,4.889423990753402740e-05
3.769911184307751383e-04,1.482196937523739633e-323,4.885609957997210409e-05
5.026548245743668510e-04,1.976262583364986177e-323,4.881787839339898942e-05
6.283185307179586180e-04,2.470328229206232721e-323,4.877957626318735738e-05
7.539822368615502765e-04,2.964393875047479265e-323,4.874119310464720148e-05
8.796459430051419351e-04,3.458459520888725809e-323,4.870272883302575350e-05
1.005309649148733702e-03,3.952525166729972353e-323,4.866418336350746991e-05
1.130973355292325469e-03,4.446590812571218898e-323,4.862555661121399799e-05
1.256637061435917236e-03,4.940656458412465442e-323,4.858684849120415550e-05
1.382300767579508786e-03,5.434722104253711986e-323,4.854805891847385616e-05
1.507964473723100553e-03,5.928787750094958530e-323,4.850918780795615028e-05
1.633628179866692320e-03,6.422853395936205074e-323,4.847023507452113668e-05
1.759291886010283870e-03,6.916919041777451618e-323,4.843120063297592204e-05
1.884955592153875637e-03,7.410984687618698163e-323,4.839208439806465478e-05
2.010619298297467404e-03,7.905050333459944707e-323,4.835288628446843696e-05
2.136283004441059171e-03,8.399115979301191251e-323,4.831360620680530394e-05
2.261946710584650938e-03,8.893181625142437795e-323,4.827424407963020408e-05
2.387610416728242705e-03,9.387247270983684339e-323,4.823479981743495807e-05
2.513274122871834472e-03,9.881312916824930884e-323,4.819527333464822505e-05
2.638937829015425805e-03,1.037537856266617743e-322,4.815566454563549581e-05
2.764601535159017572e-03,1.086944420850742397e-322,4.811597336469902508e-05
2.890265241302609339e-03,1.136350985434867052e-322,4.807619970607781792e-05
3.015928947446201106e-03,1.185757550018991706e-322,4.803634348394760943e-05
3.141592653589792873e-03,1.235164114603116360e-322,4.799640461242079696e-05
3.267256359733384640e-03,1.284570679187241015e-322,4.795638300554646048e-05
3.392920065876976407e-03,1.333977243771365669e-322,4.791627857731029476e-05
3.518583772020567740e-03,1.383383808355490324e-322,4.787609124163456876e-05
3.644247478164159507e-03,1.432790372939614978e-322,4.783582091237812561e-05
3.769911184307751274e-03,1.482196937523739633e-322,4.779546750333632841e-05
3.895574890451343041e-03,1.531603502107864287e-322,4.775503092824106698e-05
4.021238596594934808e-03,1.581010066691988941e-322,4.771451110076065625e-05
4.146902302738526142e-03,1.630416631276113596e-322,4.767390793449986336e-05
4.272566008882118342e-03,1.679823195860238250e-322,4.763322134299986018e-05
4.398229715025709675e-03,1.729229760444362905e-322,4.759245123973816918e-05
4.523893421169301876e-03,1.778636325028487559e-322,4.755159753812869045e-05
4.649557127312893209e-03,1.828042889612612213e-322,4.751066015152158659e-05
4.775220833456485410e-03,1.877449454196736868e-322,4.746963899320331650e-05
4.900884539600076743e-03,1.926856018780861522e-322,4.742853397639658125e-05
5.026548245743668944e-03,1.976262583364986177e-322,4.738734501426031048e-05
5.152211951887260277e-03,2.025669147949110831e-322,4.734607201988958787e-05
5.277875658030851611e-03,2.075075712533235486e-322,4.730471490631565115e-05
5.403539364174443811e-03,2.124482277117360140e-322,4.726327358650585822e-05
5.529203070318035144e-03,2.173888841701484794e-322,4.722174797336367358e-05
5.654866776461627345e-03,2.223295406285609449e-322,4.718013797972859380e-05
5.780530482605218678e-03,2.272701970869734103e-322,4.713844351837612044e-05
5.906194188748810879e-03,2.322108535453858758e-322,4.709666450201778032e-05
6.031857894892402212e-03,2.371515100037983412e-322,4.705480084330105104e-05
6.157521601035993546e-03,2.420921664622108066e-322,4.701285245480932030e-05
6.283185307179585746e-03,2.470328229206232721e-322,4.697081924906187233e-05
6.408849013323177080e-03,2.519734793790357375e-322,4.692870113851388793e-05
6.534512719466769280e-03,2.569141358374482030e-322,4.688649803555634279e-05
6.660176425610360613e-03,2.618547922958606684e-322,4.684420985251602104e-05
6.785840131753952814e-03,2.667954487542731339e-322,4.680183650165548140e-05
6.911503837897544147e-03,2.717361052126855993e-322,4.675937789517303008e-05
7.037167544041135481e-03,2.766767616710980647e-322,4.671683394520265972e-05
7.162831250184727681e-03,2.816174181295105302e-322,4.667420456381404949e-05
7.288494956328319015e-03,2.865580745879229956e-322,4.663148966301251081e-05
