step,dt
1.000000000000000000e+00,2.907559958429498104e-02
2.000000000000000000e+00,2.907819402984398310e-02
3.000000000000000000e+00,2.908078133842509003e-02
4.000000000000000000e+00,2.908303914444758387e-02
5.000000000000000000e+00,2.908533728503365917e-02
6.000000000000000000e+00,2.908767543637849270e-02
7.000000000000000000e+00,2.909005327608537098e-02
8.000000000000000000e+00,2.755565648098699805e-02
9.000000000000000000e+00,2.755565648098700152e-02
1.000000000000000000e+01,2.755565648098700499e-02
1.100000000000000000e+01,2.755565648098701192e-02
1.200000000000000000e+01,2.755565648098702233e-02
1.300000000000000000e+01,2.755565648098703274e-02
1.400000000000000000e+01,2.755565648098702580e-02
1.500000000000000000e+01,2.755565648098700499e-02
1.600000000000000000e+01,2.755565648098698417e-02
1.700000000000000000e+01,2.610535877146137607e-02
1.800000000000000000e+01,2.610535877146137954e-02
1.900000000000000000e+01,2.610535877146137260e-02
2.000000000000000000e+01,2.610535877146137260e-02
2.100000000000000000e+01,2.610535877146137260e-02
2.200000000000000000e+01,2.610535877146137260e-02
2.300000000000000000e+01,2.610535877146137260e-02
2.400000000000000000e+01,2.610535877146137260e-02
2.500000000000000000e+01,2.610535877146137260e-02
2.600000000000000000e+01,2.610535877146137260e-02
2.700000000000000000e+01,2.610535877146136913e-02
2.800000000000000000e+01,2.610535877146136913e-02
2.900000000000000000e+01,2.610535877146136913e-02
3.000000000000000000e+01,2.610535877146136913e-02
3.100000000000000000e+01,2.473139252033181718e-02
3.200000000000000000e+01,2.473139252033182411e-02
3.300000000000000000e+01,2.473139252033182758e-02
3.400000000000000000e+01,2.473139252033182758e-02
3.500000000000000000e+01,2.473139252033182411e-02
3.600000000000000000e+01,2.473139252033181718e-02
3.700000000000000000e+01,2.473139252033181718e-02
3.800000000000000000e+01,9.823641133825722349e-03
