step,dt
1.000000000000000000e+00,3.159949612212505522e-03
2.000000000000000000e+00,2.941605819721506733e-03
3.000000000000000000e+00,3.342360401823255174e-03
4.000000000000000000e+00,3.773279920150124974e-03
5.000000000000000000e+00,4.225015970719331673e-03
6.000000000000000000e+00,4.741862268535762537e-03
7.000000000000000000e+00,5.421200094801476715e-03
8.000000000000000000e+00,6.261025057816728759e-03
9.000000000000000000e+00,7.101556419470309370e-03
1.000000000000000000e+01,7.914437756361974649e-03
1.100000000000000000e+01,8.737194309904463413e-03
1.200000000000000000e+01,9.051045011488470515e-03
1.300000000000000000e+01,9.046510025679278810e-03
1.400000000000000000e+01,9.041336553924222974e-03
1.500000000000000000e+01,9.035568837025416758e-03
1.600000000000000000e+01,9.029237633013657838e-03
1.700000000000000000e+01,9.022380425131121262e-03
1.800000000000000000e+01,9.015040874553294573e-03
1.900000000000000000e+01,9.007189982914432652e-03
2.000000000000000000e+01,8.998931080869021493e-03
2.100000000000000000e+01,8.990329416144020314e-03
2.200000000000000000e+01,8.981359417511649776e-03
2.300000000000000000e+01,6.433745895971840385e-03
2.400000000000000000e+01,8.965334418572983716e-03
2.500000000000000000e+01,8.955676852409664643e-03
2.600000000000000000e+01,8.945914540385234079e-03
2.700000000000000000e+01,8.935939513513228849e-03
2.800000000000000000e+01,8.925982504794885419e-03
2.900000000000000000e+01,8.915886167576768037e-03
3.000000000000000000e+01,8.905894261783887239e-03
3.100000000000000000e+01,8.895848385879165029e-03
3.200000000000000000e+01,8.885989963824374865e-03
3.300000000000000000e+01,8.876140597206786872e-03
3.400000000000000000e+01,8.866570900511010211e-03
3.500000000000000000e+01,8.857054085012461969e-03
3.600000000000000000e+01,8.847888041419300215e-03
3.700000000000000000e+01,7.207956120997750619e-03
3.800000000000000000e+01,8.831769506894238120e-03
3.900000000000000000e+01,8.823301245184034941e-03
4.000000000000000000e+01,8.815191525739620240e-03
4.100000000000000000e+01,8.807407761506541588e-03
4.200000000000000000e+01,8.800007234200163050e-03
4.300000000000000000e+01,8.792983604077595980e-03
4.400000000000000000e+01,8.786372880834558696e-03
4.500000000000000000e+01,8.780165430102192942e-03
4.600000000000000000e+01,8.774412413419013096e-03
4.700000000000000000e+01,8.769058380052683482e-03
4.800000000000000000e+01,8.764218941207569183e-03
4.900000000000000000e+01,8.759737887011989979e-03
5.000000000000000000e+01,8.755834675550694043e-03
5.100000000000000000e+01,8.752251872351745482e-03
5.200000000000000000e+01,8.629764291353921729e-03
5.300000000000000000e+01,8.503144525677139645e-03
5.400000000000000000e+01,8.744503570303589768e-03
5.500000000000000000e+01,8.742809894932732778e-03
5.600000000000000000e+01,8.741498903244047589e-03
5.700000000000000000e+01,8.740579858322055848e-03
5.800000000000000000e+01,8.740118295161636297e-03
5.900000000000000000e+01,8.740085616089946288e-03
6.000000000000000000e+01,8.740316884024343022e-03
6.100000000000000000e+01,8.740922361462672222e-03
6.200000000000000000e+01,8.741880199411571073e-03
6.300000000000000000e+01,8.743158635789052488e-03
6.400000000000000000e+01,8.744725929837169134e-03
6.500000000000000000e+01,8.746550693515811256e-03
6.600000000000000000e+01,8.748557833581176862e-03
6.700000000000000000e+01,8.750761016192881367e-03
6.800000000000000000e+01,8.753143276693896649e-03
6.900000000000000000e+01,8.755676223827342508e-03
7.000000000000000000e+01,8.758333010880194405e-03
7.100000000000000000e+01,8.761088515031836832e-03
7.200000000000000000e+01,8.763919481264747027e-03
7.300000000000000000e+01,8.766804630380127875e-03
7.400000000000000000e+01,8.769724731367938009e-03
7.500000000000000000e+01,8.772662639071209661e-03
7.600000000000000000e+01,8.775603298745540334e-03
7.700000000000000000e+01,8.778533719715630665e-03
7.800000000000000000e+01,8.781442920852236891e-03
7.900000000000000000e+01,8.784321851018803487e-03
8.000000000000000000e+01,8.787163287956143917e-03
8.100000000000000000e+01,8.789961719280583660e-03
8.200000000000000000e+01,8.792713209365213278e-03
8.300000000000000000e+01,8.795415255862165660e-03
