accepted,dt,dt_cfl,err,limiter,t
0,0.009064809071540326,0.009064809071540326,17.209293412813487,CFL,0.0
1,0.0031599496122125055,0.009064809071540326,0.9036797959686722,adapter,0.0
1,0.0029416058197215067,0.009064716356942507,0.4969596455455082,adapter,0.0031599496122125055
1,0.003342360401823255,0.009064569991439295,0.5066759461957108,adapter,0.006101555431934013
1,0.003773279920150125,0.009064334062588863,0.5192775378034736,adapter,0.009443915833757269
1,0.004225015970719332,0.009063962618117203,0.5156627816734833,adapter,0.013217195753907394
1,0.0047418622685357625,0.009063388457898492,0.4878519246360681,adapter,0.017442211724626726
1,0.005421200094801477,0.009062605839156208,0.47323571609853715,adapter,0.02218407399316249
1,0.006261025057816729,0.009061476598050322,0.499577912444463,adapter,0.027605274087963965
1,0.007101556419470309,0.009059896769162804,0.5266571077204688,adapter,0.033866299145780696
1,0.007914437756361975,0.009057705154768607,0.5418408566763755,adapter,0.040967855565251
1,0.008737194309904463,0.009054810607385713,0.5577386811343427,adapter,0.04888229332161298
1,0.00905104501148847,0.00905104501148847,0.4868855816364994,CFL,0.057619487631517446
1,0.009046510025679279,0.009046510025679279,0.395478231405471,CFL,0.06667053264300592
1,0.009041336553924223,0.009041336553924223,0.3326560862644915,CFL,0.0757170426686852
1,0.009035568837025417,0.009035568837025417,0.2865370362334541,CFL,0.08475837922260943
1,0.009029237633013658,0.009029237633013658,0.25295182558227636,CFL,0.09379394805963484
1,0.009022380425131121,0.009022380425131121,0.2277097500593339,CFL,0.1028231856926485
1,0.009015040874553295,0.009015040874553295,0.20775718404100604,CFL,0.11184556611777963
1,0.009007189982914433,0.009007189982914433,0.1911796133344325,CFL,0.12086060699233292
1,0.008998931080869021,0.008998931080869021,0.17903387755535213,CFL,0.12986779697524736
1,0.00899032941614402,0.00899032941614402,0.16726604734936582,CFL,0.13886672805611638
1,0.00898135941751165,0.00898135941751165,0.1925198985515979,CFL,0.1478570574722604
0,0.008972099698121476,0.008972099698121476,1.9770519814795269,CFL,0.15683841688977207
1,0.00643374589597184,0.008972099698121476,0.137076981987519,adapter,0.15683841688977207
1,0.008965334418572984,0.008965334418572984,0.2277246588778019,CFL,0.1632721627857439
1,0.008955676852409665,0.008955676852409665,0.2244196175672225,CFL,0.1722374972043169
1,0.008945914540385234,0.008945914540385234,0.2513361008060896,CFL,0.18119317405672655
1,0.008935939513513229,0.008935939513513229,0.1836601647738397,CFL,0.1901390885971118
1,0.008925982504794885,0.008925982504794885,0.5099270069191538,CFL,0.19907502811062502
1,0.008915886167576768,0.008915886167576768,0.16891309664504367,CFL,0.20800101061541992
1,0.008905894261783887,0.008905894261783887,0.5415895244097543,CFL,0.2169168967829967
1,0.008895848385879165,0.008895848385879165,0.1695224578024374,CFL,0.2258227910447806
1,0.008885989963824375,0.008885989963824375,0.2437334660773686,CFL,0.23471863943065976
1,0.008876140597206787,0.008876140597206787,0.19503259863222613,CFL,0.24360462939448413
1,0.00886657090051101,0.00886657090051101,0.17649642202674257,CFL,0.2524807699916909
1,0.008857054085012462,0.008857054085012462,0.30033709704962674,CFL,0.2613473408922019
1,0.0088478880414193,0.0088478880414193,0.15201645839635797,CFL,0.2702043949772144
0,0.008838852435431364,0.008838852435431364,1.3442460717864444,CFL,0.27905228301863366
1,0.007207956120997751,0.008838852435431364,0.21470938379935095,adapter,0.27905228301863366
1,0.008831769506894238,0.008831769506894238,0.15610449814789779,CFL,0.2862602391396314
1,0.008823301245184035,0.008823301245184035,0.202898625417659,CFL,0.2950920086465256
1,0.00881519152573962,0.00881519152573962,0.19096763798190483,CFL,0.3039153098917097
1,0.008807407761506542,0.008807407761506542,0.15232367273330508,CFL,0.3127305014174493
1,0.008800007234200163,0.008800007234200163,0.3320618961810446,CFL,0.32153790917895586
1,0.008792983604077596,0.008792983604077596,0.13595946981465987,CFL,0.330337916413156
1,0.008786372880834559,0.008786372880834559,0.5436919069653952,CFL,0.3391309000172336
1,0.008780165430102193,0.008780165430102193,0.13695584507852726,CFL,0.3479172728980682
1,0.008774412413419013,0.008774412413419013,0.20604481730042498,CFL,0.35669743832817036
1,0.008769058380052683,0.008769058380052683,0.15888026221165513,CFL,0.3654718507415894
1,0.00876421894120757,0.00876421894120757,0.14343190191189126,CFL,0.3742409091216421
1,0.00875973788701199,0.00875973788701199,0.2386349525468372,CFL,0.38300512806284964
1,0.008755834675550694,0.008755834675550694,0.1520295146255795,CFL,0.39176486594986165
1,0.008752251872351745,0.008752251872351745,0.7604841183061855,CFL,0.40052070062541234
1,0.008629764291353922,0.008749210093179083,0.7620538254128486,adapter,0.4092729524977641
1,0.00850314452567714,0.008746653665816584,0.21615964846534055,adapter,0.417902716789118
1,0.00874450357030359,0.00874450357030359,0.30994836463710224,CFL,0.42640586131479513
1,0.008742809894932733,0.008742809894932733,0.20306045057881433,CFL,0.43515036488509873
1,0.008741498903244048,0.008741498903244048,0.2517588732526786,CFL,0.4438931747800315
1,0.008740579858322056,0.008740579858322056,0.2930686376758359,CFL,0.45263467368327553
1,0.008740118295161636,0.008740118295161636,0.7090154282920206,CFL,0.4613752535415976
1,0.008740085616089946,0.008740085616089946,0.6825192659932454,CFL,0.4701153718367592
1,0.008740316884024343,0.008740316884024343,0.22661529222250407,CFL,0.4788554574528492
1,0.008740922361462672,0.008740922361462672,0.23137479686585927,CFL,0.4875957743368735
1,0.008741880199411571,0.008741880199411571,0.22814785428716972,CFL,0.4963366966983362
1,0.008743158635789052,0.008743158635789052,0.28949985669456263,CFL,0.5050785768977477
1,0.00874472592983717,0.00874472592983717,0.4767541455039237,CFL,0.5138217355335367
1,0.008746550693515811,0.008746550693515811,0.4712933458201389,CFL,0.5225664614633739
1,0.008748557833581177,0.008748557833581177,0.40283643574000516,CFL,0.5313130121568898
1,0.008750761016192881,0.008750761016192881,0.24734028153763973,CFL,0.540061569990471
1,0.008753143276693897,0.008753143276693897,0.21380020063733352,CFL,0.5488123310066638
1,0.008755676223827343,0.008755676223827343,0.2512892088569545,CFL,0.5575654742833577
1,0.008758333010880194,0.008758333010880194,0.20471950735445787,CFL,0.566321150507185
1,0.008761088515031837,0.008761088515031837,0.68905043420768,CFL,0.5750794835180653
1,0.008763919481264747,0.008763919481264747,0.31216174313362627,CFL,0.5838405720330971
1,0.008766804630380128,0.008766804630380128,0.3535941912561264,CFL,0.5926044915143619
1,0.008769724731367938,0.008769724731367938,0.28693441064587616,CFL,0.601371296144742
1,0.00877266263907121,0.00877266263907121,0.2303437819577079,CFL,0.61014102087611
1,0.00877560329874554,0.00877560329874554,0.34611794800027224,CFL,0.6189136835151812
1,0.00877853371971563,0.00877853371971563,0.41361922118925687,CFL,0.6276892868139267
1,0.008781442920852237,0.008781442920852237,0.6940697997901367,CFL,0.6364678205336423
1,0.008784321851018803,0.008784321851018803,0.26849142586660313,CFL,0.6452492634544945
1,0.008787163287956144,0.008787163287956144,0.43622549282187545,CFL,0.6540335853055134
1,0.008789961719280584,0.008789961719280584,0.4240319703841572,CFL,0.6628207485934695
1,0.008792713209365213,0.008792713209365213,0.337532481690456,CFL,0.6716107103127501
1,0.008795415255862166,0.008795415255862166,0.633263483503091,CFL,0.6804034235221154
1,0.00879806663950779,0.00879806663950779,0.26718896293949806,CFL,0.6891988387779775
1,0.008800667270658659,0.008800667270658659,0.6195582052076245,CFL,0.6979969054174853
1,0.008803218035732094,0.008803218035732094,0.2410190961606801,CFL,0.7067975726881439
1,0.008805720646393901,0.008805720646393901,0.47361756658692844,CFL,0.7156007907238761
1,0.008808177493972254,0.008808177493972254,0.3997282873494187,CFL,0.72440651137027
1,0.008810591511179815,0.008810591511179815,0.3027427793417972,CFL,0.7332146888642422
1,0.008812966042824786,0.008812966042824786,0.6192483944007109,CFL,0.742025280375422
1,0.008815304726792754,0.008815304726792754,0.23777799277415143,CFL,0.7508382464182468
1,0.008817611386198564,0.008817611386198564,0.4347808812715682,CFL,0.7596535511450395
1,0.008819889933249805,0.008819889933249805,0.22326744663278147,CFL,0.768471162531238
1,0.008822144285038747,0.008822144285038747,0.7096343614528953,CFL,0.7772910524644878
1,0.00882432043497128,0.00882432043497128,0.3101096730935683,CFL,0.7861131967495265
1,0.008826454225319582,0.008826454225319582,0.28547307139178707,CFL,0.7949375171844978
1,0.00882857147000985,0.00882857147000985,0.8145354373525688,CFL,0.8037639714098174
1,0.008508041873923141,0.008830675945136658,0.20547566718145602,adapter,0.8125925428798272
1,0.008832695600357113,0.008832695600357113,0.34801507792091435,CFL,0.8211005847537504
1,0.008834788489162367,0.008834788489162367,0.21495089045566562,CFL,0.8299332803541075
0,0.008836878305440998,0.008836878305440998,1.0614553530549844,CFL,0.8387680688432699
1,0.00779663984735049,0.008836878305440998,0.35483394054278766,adapter,0.8387680688432699
1,0.008838751368398592,0.008838751368398592,0.42130472984545814,CFL,0.8465647086906204
1,0.008840753151589865,0.008840753151589865,0.3233113092468633,CFL,0.855403460059019
1,0.008842757781972665,0.008842757781972665,0.446216796964178,CFL,0.8642442132106088
1,0.008844767355205299,0.008844767355205299,0.24816104926144714,CFL,0.8730869709925815
1,0.008846783653694217,0.008846783653694217,0.34153754928628166,CFL,0.8819317383477868
1,0.008848808158776887,0.008848808158776887,0.2697487452568183,CFL,0.890778522001481
1,0.008850842065673263,0.008850842065673263,0.8181441036650164,CFL,0.8996273301602579
0,0.00851694479885088,0.00885288630046716,1.5745599345615517,adapter,0.9084781722259311
1,0.006588804320951533,0.00885288630046716,0.3572266464822389,adapter,0.9084781722259311
1,0.008357335499828162,0.008854318686163069,0.2572855533337265,adapter,0.9150669765468826
1,0.008856191013595688,0.008856191013595688,0.37437319355581783,CFL,0.9234243120467108
1,0.008858194925430237,0.008858194925430237,0.33438635768132535,CFL,0.9322805030603065
1,0.008860211458555192,0.008860211458555192,0.7423404892607899,CFL,0.9411386979857368
0,0.008806815134726273,0.008862240658595711,1.2226856478515928,adapter,0.949998909444292
1,0.007412359106225036,0.008862240658595711,0.3805172598700295,adapter,0.949998909444292
1,0.008863896590307863,0.008863896590307863,0.29489476426759814,CFL,0.9574112685505171
1,0.00886586401336724,0.00886586401336724,0.45707717911287027,CFL,0.9662751651408249
1,0.008867844838506965,0.008867844838506965,0.2804898025340268,CFL,0.9751410291541921
1,0.00886983864432019,0.00886983864432019,0.405110615792638,CFL,0.9840088739926991
1,0.007121287362980677,0.008871844886845467,0.512079166362193,final,0.9928787126370193
