accepted,dt,dt_cfl,err,limiter,t
0,0.020195952773077126,0.020195952773077126,1.277184841604539,CFL,0.0
1,0.016752859159551645,0.020195952773077126,0.7018117316663196,adapter,0.0
1,0.016966460054568918,0.020195952773077126,0.9703657132735313,adapter,0.016752859159551645
1,0.01542370111570217,0.017451216056128028,0.3130503724642755,adapter,0.033719319214120566
1,0.015864378290436517,0.015864378290436517,0.34552221536313193,CFL,0.049143020329822734
1,0.015864378290436517,0.015864378290436517,0.2842348361137314,CFL,0.06500739862025925
1,0.015864378290436514,0.015864378290436514,0.2252789912734524,CFL,0.08087177691069578
1,0.015864378290436507,0.015864378290436507,0.36185451024296744,CFL,0.0967361552011323
1,0.015864378290436507,0.015864378290436507,0.20949137131596526,CFL,0.1126005334915688
1,0.01586437829043649,0.01586437829043649,0.28062832216898137,CFL,0.1284649117820053
1,0.01586437829043649,0.01586437829043649,0.215902482104996,CFL,0.1443292900724418
1,0.01586437829043649,0.01586437829043649,0.20798503787128075,CFL,0.1601936683628783
1,0.01586437829043649,0.01586437829043649,0.3726694272828266,CFL,0.1760580466533148
1,0.01586437829043649,0.01586437829043649,0.18845123758521826,CFL,0.19192242494375128
1,0.015864378290436545,0.015864378290436545,0.25542792686502525,CFL,0.20778680323418777
1,0.015864378290436545,0.015864378290436545,0.20146799080761618,CFL,0.22365118152462432
1,0.015864378290436545,0.015864378290436545,0.2095857745830844,CFL,0.23951555981506087
1,0.015864378290436545,0.015864378290436545,0.20101423677488134,CFL,0.2553799381054974
1,0.015864378290436545,0.015864378290436545,0.24484917347678034,CFL,0.27124431639593394
1,0.015864378290436545,0.015864378290436545,0.45727994038160025,CFL,0.28710869468637046
1,0.015864378290436545,0.015864378290436545,0.24687118066150004,CFL,0.302973072976807
1,0.015864378290436545,0.015864378290436545,0.18424253148073494,CFL,0.3188374512672435
1,0.015864378290436545,0.015864378290436545,0.2505198613575517,CFL,0.33470182955768
1,0.015864378290436545,0.015864378290436545,0.23766675236185542,CFL,0.35056620784811654
1,0.015864378290436472,0.015864378290436472,0.14655232009446473,CFL,0.36643058613855306
1,0.015864378290436472,0.015864378290436472,0.28356107492182603,CFL,0.3822949644289895
1,0.015864378290436472,0.015864378290436472,0.27516392554531355,CFL,0.398159342719426
1,0.015864378290436472,0.015864378290436472,0.14867156339123486,CFL,0.41402372100986246
1,0.015864378290436472,0.015864378290436472,0.15883220339084014,CFL,0.4298880993002989
1,0.015864378290436472,0.015864378290436472,0.38559809305905474,CFL,0.4457524775907354
1,0.015864378290436472,0.015864378290436472,0.16568981914785547,CFL,0.46161685588117185
1,0.015864378290436472,0.015864378290436472,0.131084524218628,CFL,0.4774812341716083
1,0.00665438753795522,0.015864378290436472,0.012175980930242072,final,0.4933456124620448
